,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,173,5.72%
1,RJ,Universidade do Estado do Rio de Janeiro,150,4.96%
2,SP,Universidade Estadual de Campinas,139,4.60%
3,DF,Universidade de Brasília,87,2.88%
4,MA,Universidade Federal do Maranhão,80,2.64%
5,RJ,Universidade Federal Fluminense,79,2.61%
6,AM,Universidade Federal do Amazonas,69,2.28%
7,PR,Universidade Estadual de Londrina,66,2.18%
8,BA,Universidade Estadual de Santa Cruz,64,2.12%
9,PE,Universidade Federal do Vale do São Francisco,61,2.02%
10,BA,Universidade Federal do Sul da Bahia,60,1.98%
11,SP,Universidade Federal do ABC,59,1.95%
12,BA,Universidade do Estado da Bahia,57,1.88%
13,RJ,Universidade Estadual do Norte Fluminense,54,1.79%
14,PR,Universidade Estadual de Ponta Grossa,53,1.75%
15,MS,Universidade Federal da Grande Dourados,51,1.69%
16,RS,Universidade Federal do Rio Grande do Sul,51,1.69%
17,CE,Universidade Estadual do Ceará,48,1.59%
18,RJ,Universidade Federal do Rio de Janeiro,48,1.59%
19,AC,Universidade Federal do Acre,46,1.52%
20,PR,Universidade Estadual de Maringá,45,1.49%
21,PR,Universidade Estadual do Oeste do Paraná,45,1.49%
22,PI,Universidade Federal do Piauí,44,1.45%
23,MG,Universidade Federal de Lavras,42,1.39%
24,PE,Universidade Federal Rural de Pernambuco,41,1.36%
25,MG,Centro Federal de Educação Tecnológica de Minas Gerais,40,1.32%
26,BA,Universidade Estadual de Feira de Santana,40,1.32%
27,RS,Universidade Federal de Pelotas,40,1.32%
28,RS,Universidade Federal de Santa Maria,40,1.32%
29,MT,Universidade do Estado de Mato Grosso,38,1.26%
30,PR,Universidade Tecnológica Federal do Paraná,37,1.22%
31,PR,Universidade Estadual do Paraná,34,1.12%
32,MS,Universidade Federal de Mato Grosso do Sul,34,1.12%
33,PR,Universidade Federal da Integração Latino-Americana,29,0.96%
34,MG,Universidade Federal de Viçosa,29,0.96%
35,MT,Universidade Federal do Mato Grosso,29,0.96%
36,MG,Universidade Federal de São João del-Rei,29,0.96%
37,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,28,0.93%
38,SP,Universidade de São Paulo,28,0.93%
39,BA,Universidade Estadual do Sudoeste da Bahia,28,0.93%
40,RO,Universidade Federal de Rondônia,28,0.93%
41,PI,Instituto Federal do Piauí,26,0.86%
42,PA,Universidade do Estado do Pará,26,0.86%
43,MG,Universidade Federal de Juiz de Fora,26,0.86%
44,SE,Universidade Federal de Sergipe,26,0.86%
45,RJ,Universidade Federal Rural do Rio de Janeiro,26,0.86%
46,CE,Universidade Estadual do Vale do Acaraú,25,0.83%
47,GO,Universidade Federal de Goiás,25,0.83%
48,CE,Universidade Federal do Ceará,25,0.83%
49,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,25,0.83%
50,AL,Universidade Federal de Alagoas,24,0.79%
51,MG,Universidade Federal de Uberlândia,23,0.76%
52,RS,Instituto Federal do Rio Grande do Sul,21,0.69%
53,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,0.66%
54,SC,Universidade do Estado de Santa Catarina,20,0.66%
55,PR,Universidade Federal do Paraná,19,0.63%
56,MT,Universidade Federal de Rondonópolis,18,0.60%
57,GO,Universidade Estadual de Goiás,17,0.56%
58,PA,Universidade Federal do Pará,17,0.56%
59,PB,Universidade Estadual da Paraíba,16,0.53%
60,SP,Universidade Federal de São Carlos,16,0.53%
61,DF,Universidade do Distrito Federal,15,0.50%
62,MG,Universidade Federal de Ouro Preto,15,0.50%
63,PA,Universidade Federal do Oeste do Pará,15,0.50%
64,PA,Universidade Federal Rural da Amazônia,15,0.50%
65,PB,Universidade Federal de Campina Grande,14,0.46%
66,CE,Universidade Regional do Cariri,14,0.46%
67,PE,Universidade de Pernambuco,13,0.43%
68,PI,Universidade Estadual do Piauí,12,0.40%
69,PR,Universidade Estadual do Centro-Oeste,11,0.36%
70,RS,Universidade Federal de Rio Grande,11,0.36%
71,RR,Universidade Federal de Roraima,11,0.36%
72,AP,Universidade Federal do Amapá,11,0.36%
73,BA,Universidade Federal do Oeste da Bahia,11,0.36%
74,PR,Universidade Estadual do Norte do Paraná,10,0.33%
75,BA,Universidade Federal da Bahia,10,0.33%
76,PE,Universidade Federal de Pernambuco,10,0.33%
77,MS,Universidade Estadual de Mato Grosso do Sul,9,0.30%
78,PB,Universidade Federal da Paraíba,9,0.30%
79,BA,Universidade Federal do Recôncavo da Bahia,9,0.30%
80,AM,Universidade do Estado do Amazonas,8,0.26%
81,SP,Universidade Estadual Paulista,8,0.26%
82,RN,Universidade Federal do Rio Grande do Norte,8,0.26%
83,RJ,Universidade Federal do Estado do Rio de Janeiro,6,0.20%
84,MG,Universidade do Estado de Minas Gerais,5,0.17%
85,RR,Universidade Estadual de Roraima,5,0.17%
86,SC,Universidade Federal da Fronteira Sul,5,0.17%
87,SP,Universidade Federal de São Paulo,5,0.17%
88,RN,Universidade Federal Rural do Semi-Árido,5,0.17%
89,GO,Universidade Federal de Catalão,4,0.13%
90,PI,Universidade Federal do Delta do Parnaíba,4,0.13%
91,PR,Instituto Federal do Paraná,3,0.10%
92,SP,Secretaria Municipal de Educação de São Paulo,3,0.10%
93,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,3,0.10%
94,TO,Universidade Federal do Tocantins,3,0.10%
95,GO,Instituto Federal de Goiás,2,0.07%
96,MG,Instituto Federal do Sudeste Mineiro,2,0.07%
97,TO,Universidade de Guripi,2,0.07%
98,MA,Universidade Estadual do Maranhão,2,0.07%
99,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.07%
100,MG,Universidade Federal do Triângulo Mineiro,2,0.07%
101,PE,Universidade Federal do Agreste de Pernambuco,2,0.07%
102,ES,Associação Brasileira de Odontologia,1,0.03%
103,RJ,Colégio Pedro II,1,0.03%
104,SP,Faculdade de Medicina de Jundiaí,1,0.03%
105,ES,Faculdade de Música do Espírito Santo,1,0.03%
106,SP,Faculdade de Tecnologia Sebrae,1,0.03%
107,AL,Instituto Federal de Alagoas,1,0.03%
108,PE,Instituto Federal de Pernambuco,1,0.03%
109,RO,Instituto Federal de Rondônia,1,0.03%
110,RR,Instituto Federal de Roraima,1,0.03%
111,CE,Instituto Federal do Ceará,1,0.03%
112,MA,Instituto Federal do Maranhão,1,0.03%
113,RJ,Instituto Federal Fluminense,1,0.03%
114,PA,Instituto Federal do Pará,1,0.03%
115,SP,Secretaria da Educação de Diadema,1,0.03%
116,MT,Secretaria de Educação de Mato Grosso,1,0.03%
117,RJ,Secretaria de Educação do Rio de Janeiro,1,0.03%
118,BA,Secretaria Municipal de Educação da Bahia,1,0.03%
119,RS,Universidade de Santa Cruz do Sul,1,0.03%
120,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.03%
121,MG,Universidade Estadual de Montes Claros,1,0.03%
122,MG,Universidade Federal de Alfenas,1,0.03%
123,MG,Universidade Federal de Itajubá,1,0.03%
124,MG,Universidade Federal de Minas Gerais,1,0.03%
125,SC,Universidade Federal de Santa Catarina,1,0.03%
126,TO,Universidade Federal do Norte de Tocantins,1,0.03%
127,RS,Universidade Federal do Pampa,1,0.03%
128,MG,Instituto Federal de Minas Gerais,1,0.03%
