,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,33,32.04%
1,SP,Universidade Estadual de Campinas,7,6.80%
2,RJ,Universidade do Estado do Rio de Janeiro,5,4.85%
3,MS,Universidade Estadual de Mato Grosso do Sul,4,3.88%
4,DF,Universidade de Brasília,3,2.91%
5,MG,Universidade Federal de Viçosa,3,2.91%
6,MA,Universidade Federal do Maranhão,3,2.91%
7,RS,Universidade Federal do Rio Grande do Sul,3,2.91%
8,RJ,Universidade Federal Fluminense,3,2.91%
9,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,1.94%
10,BA,Universidade do Estado da Bahia,2,1.94%
11,MT,Universidade do Estado de Mato Grosso,2,1.94%
12,GO,Universidade Estadual de Goiás,2,1.94%
13,PR,Universidade Estadual de Londrina,2,1.94%
14,PR,Universidade Estadual de Maringá,2,1.94%
15,MG,Universidade Federal de Juiz de Fora,2,1.94%
16,MT,Universidade Federal do Mato Grosso,2,1.94%
17,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.97%
18,ES,Faculdade de Música do Espírito Santo,1,0.97%
19,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.97%
20,AM,Universidade do Estado do Amazonas,1,0.97%
21,PB,Universidade Estadual da Paraíba,1,0.97%
22,PR,Universidade Estadual do Oeste do Paraná,1,0.97%
23,AL,Universidade Federal de Alagoas,1,0.97%
24,RO,Universidade Federal de Rondônia,1,0.97%
25,RR,Universidade Federal de Roraima,1,0.97%
26,RS,Universidade Federal de Santa Maria,1,0.97%
27,SE,Universidade Federal de Sergipe,1,0.97%
28,SP,Universidade Federal do ABC,1,0.97%
29,AC,Universidade Federal do Acre,1,0.97%
30,AM,Universidade Federal do Amazonas,1,0.97%
31,CE,Universidade Federal do Ceará,1,0.97%
32,BA,Universidade Federal do Oeste da Bahia,1,0.97%
33,PR,Universidade Federal do Paraná,1,0.97%
34,RJ,Universidade Federal do Rio de Janeiro,1,0.97%
35,BA,Universidade Federal do Sul da Bahia,1,0.97%
36,CE,Universidade Estadual do Vale do Acaraú,1,0.97%
37,RS,Instituto Federal do Rio Grande do Sul,1,0.97%
38,MS,Universidade Federal da Grande Dourados,1,0.97%
39,SP,Universidade Federal de São Carlos,1,0.97%
