,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,61,29.76%
1,SP,Universidade Estadual de Campinas,11,5.37%
2,PB,Universidade Estadual da Paraíba,7,3.41%
3,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,2.93%
4,BA,Universidade do Estado da Bahia,6,2.93%
5,MS,Universidade Estadual de Mato Grosso do Sul,6,2.93%
6,RJ,Universidade do Estado do Rio de Janeiro,5,2.44%
7,AM,Universidade Federal do Amazonas,5,2.44%
8,MT,Universidade Federal do Mato Grosso,5,2.44%
9,SP,Universidade de São Paulo,4,1.95%
10,MT,Universidade do Estado de Mato Grosso,4,1.95%
11,PR,Universidade Estadual de Londrina,4,1.95%
12,PR,Universidade Estadual de Maringá,4,1.95%
13,RS,Universidade Federal de Pelotas,4,1.95%
14,SE,Universidade Federal de Sergipe,4,1.95%
15,MG,Universidade Federal de Uberlândia,4,1.95%
16,MA,Universidade Federal do Maranhão,4,1.95%
17,PE,Universidade Federal Rural de Pernambuco,4,1.95%
18,BA,Universidade Estadual de Feira de Santana,3,1.46%
19,PB,Universidade Federal da Paraíba,3,1.46%
20,CE,Universidade Estadual do Vale do Acaraú,3,1.46%
21,MS,Universidade Federal de Mato Grosso do Sul,3,1.46%
22,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,0.98%
23,GO,Universidade Estadual de Goiás,2,0.98%
24,PR,Universidade Estadual do Oeste do Paraná,2,0.98%
25,BA,Universidade Estadual do Sudoeste da Bahia,2,0.98%
26,PR,Universidade Federal da Integração Latino-Americana,2,0.98%
27,AL,Universidade Federal de Alagoas,2,0.98%
28,MG,Universidade Federal de Ouro Preto,2,0.98%
29,RS,Universidade Federal de Rio Grande,2,0.98%
30,RO,Universidade Federal de Rondônia,2,0.98%
31,AC,Universidade Federal do Acre,2,0.98%
32,PA,Universidade Federal do Pará,2,0.98%
33,RS,Universidade Federal do Rio Grande do Sul,2,0.98%
34,PR,Universidade Tecnológica Federal do Paraná,2,0.98%
35,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.49%
36,TO,Universidade de Guripi,1,0.49%
37,SC,Universidade do Estado de Santa Catarina,1,0.49%
38,AM,Universidade do Estado do Amazonas,1,0.49%
39,BA,Universidade Estadual de Santa Cruz,1,0.49%
40,CE,Universidade Estadual do Ceará,1,0.49%
41,RJ,Universidade Estadual do Norte Fluminense,1,0.49%
42,PR,Universidade Estadual do Paraná,1,0.49%
43,PB,Universidade Federal de Campina Grande,1,0.49%
44,RS,Universidade Federal de Santa Maria,1,0.49%
45,AP,Universidade Federal do Amapá,1,0.49%
46,CE,Universidade Federal do Ceará,1,0.49%
47,PA,Universidade Federal do Oeste do Pará,1,0.49%
48,RJ,Universidade Federal do Rio de Janeiro,1,0.49%
49,RJ,Universidade Federal Fluminense,1,0.49%
50,PI,Instituto Federal do Piauí,1,0.49%
51,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.49%
52,SP,Universidade Federal de São Carlos,1,0.49%
53,MS,Universidade Federal da Grande Dourados,1,0.49%
