,UF,Instituição de ensino,Contagem,Porcentagem
0,SP,Universidade Estadual de Campinas,69,5.06%
1,RJ,Universidade do Estado do Rio de Janeiro,67,4.92%
2,ES,Universidade Federal do Espírito Santo,61,4.48%
3,DF,Universidade de Brasília,42,3.08%
4,MA,Universidade Federal do Maranhão,36,2.64%
5,BA,Universidade do Estado da Bahia,35,2.57%
6,RJ,Universidade Federal Fluminense,31,2.27%
7,PI,Instituto Federal do Piauí,30,2.20%
8,SP,Universidade Federal do ABC,30,2.20%
9,BA,Universidade Estadual de Feira de Santana,29,2.13%
10,PR,Universidade Estadual de Londrina,27,1.98%
11,AM,Universidade Federal do Amazonas,25,1.83%
12,BA,Universidade Federal do Sul da Bahia,24,1.76%
13,MG,Centro Federal de Educação Tecnológica de Minas Gerais,23,1.69%
14,BA,Universidade Estadual do Sudoeste da Bahia,22,1.61%
15,RS,Universidade Federal de Pelotas,21,1.54%
16,PE,Universidade Federal do Vale do São Francisco,21,1.54%
17,PE,Universidade Federal Rural de Pernambuco,21,1.54%
18,RS,Instituto Federal do Rio Grande do Sul,20,1.47%
19,BA,Universidade Estadual de Santa Cruz,20,1.47%
20,PR,Universidade Estadual do Paraná,20,1.47%
21,RJ,Universidade Federal do Rio de Janeiro,20,1.47%
22,RS,Universidade Federal do Rio Grande do Sul,20,1.47%
23,MS,Universidade Federal da Grande Dourados,20,1.47%
24,RO,Universidade Federal de Rondônia,19,1.39%
25,DF,Universidade do Distrito Federal,18,1.32%
26,MT,Universidade do Estado de Mato Grosso,18,1.32%
27,PA,Universidade do Estado do Pará,17,1.25%
28,MG,Universidade Federal de Ouro Preto,17,1.25%
29,AC,Universidade Federal do Acre,17,1.25%
30,MT,Universidade Federal do Mato Grosso,17,1.25%
31,SP,Universidade de São Paulo,16,1.17%
32,PR,Universidade Estadual de Maringá,16,1.17%
33,MS,Universidade Federal de Mato Grosso do Sul,16,1.17%
34,PR,Universidade Estadual de Ponta Grossa,15,1.10%
35,CE,Universidade Estadual do Ceará,15,1.10%
36,SP,Universidade Federal de São Paulo,15,1.10%
37,PR,Universidade Estadual do Oeste do Paraná,14,1.03%
38,RS,Universidade Federal de Santa Maria,14,1.03%
39,RJ,Universidade Estadual do Norte Fluminense,13,0.95%
40,PB,Universidade Federal de Campina Grande,13,0.95%
41,MG,Universidade Federal de Juiz de Fora,13,0.95%
42,SE,Universidade Federal de Sergipe,13,0.95%
43,MG,Universidade Federal de Uberlândia,13,0.95%
44,PR,Universidade Federal do Paraná,13,0.95%
45,PI,Universidade Federal do Piauí,13,0.95%
46,RJ,Universidade Federal Rural do Rio de Janeiro,13,0.95%
47,MS,Universidade Estadual de Mato Grosso do Sul,12,0.88%
48,PR,Universidade Federal da Integração Latino-Americana,12,0.88%
49,PA,Universidade Federal do Pará,12,0.88%
50,MG,Universidade Federal de São João del-Rei,11,0.81%
51,MG,Universidade Federal de Viçosa,11,0.81%
52,CE,Universidade Federal do Ceará,11,0.81%
53,PA,Universidade Federal Rural da Amazônia,10,0.73%
54,PR,Universidade Tecnológica Federal do Paraná,10,0.73%
