,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,93,30.59%
1,SP,Universidade Estadual de Campinas,18,5.92%
2,RJ,Universidade do Estado do Rio de Janeiro,10,3.29%
3,MS,Universidade Estadual de Mato Grosso do Sul,10,3.29%
4,BA,Universidade do Estado da Bahia,8,2.63%
5,PB,Universidade Estadual da Paraíba,8,2.63%
6,MA,Universidade Federal do Maranhão,7,2.30%
7,MT,Universidade Federal do Mato Grosso,7,2.30%
8,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,1.97%
9,MT,Universidade do Estado de Mato Grosso,6,1.97%
10,PR,Universidade Estadual de Londrina,6,1.97%
11,PR,Universidade Estadual de Maringá,6,1.97%
12,AM,Universidade Federal do Amazonas,6,1.97%
13,SE,Universidade Federal de Sergipe,5,1.64%
14,RS,Universidade Federal do Rio Grande do Sul,5,1.64%
15,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,1.32%
16,SP,Universidade de São Paulo,4,1.32%
17,GO,Universidade Estadual de Goiás,4,1.32%
18,RS,Universidade Federal de Pelotas,4,1.32%
19,MG,Universidade Federal de Uberlândia,4,1.32%
20,PE,Universidade Federal Rural de Pernambuco,4,1.32%
21,CE,Universidade Estadual do Vale do Acaraú,4,1.32%
22,DF,Universidade de Brasília,3,0.99%
23,BA,Universidade Estadual de Feira de Santana,3,0.99%
24,PR,Universidade Estadual do Oeste do Paraná,3,0.99%
25,PB,Universidade Federal da Paraíba,3,0.99%
26,RO,Universidade Federal de Rondônia,3,0.99%
27,MG,Universidade Federal de Viçosa,3,0.99%
28,AC,Universidade Federal do Acre,3,0.99%
29,RJ,Universidade Federal Fluminense,3,0.99%
30,MS,Universidade Federal de Mato Grosso do Sul,3,0.99%
31,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,0.66%
32,AM,Universidade do Estado do Amazonas,2,0.66%
33,BA,Universidade Estadual do Sudoeste da Bahia,2,0.66%
34,PR,Universidade Federal da Integração Latino-Americana,2,0.66%
35,AL,Universidade Federal de Alagoas,2,0.66%
36,MG,Universidade Federal de Juiz de Fora,2,0.66%
37,MG,Universidade Federal de Ouro Preto,2,0.66%
38,RS,Universidade Federal de Rio Grande,2,0.66%
39,RS,Universidade Federal de Santa Maria,2,0.66%
40,CE,Universidade Federal do Ceará,2,0.66%
41,PA,Universidade Federal do Pará,2,0.66%
42,PR,Universidade Tecnológica Federal do Paraná,2,0.66%
43,MS,Universidade Federal da Grande Dourados,2,0.66%
44,SP,Universidade Federal de São Carlos,2,0.66%
45,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.33%
46,ES,Faculdade de Música do Espírito Santo,1,0.33%
47,TO,Universidade de Guripi,1,0.33%
48,SC,Universidade do Estado de Santa Catarina,1,0.33%
49,BA,Universidade Estadual de Santa Cruz,1,0.33%
50,CE,Universidade Estadual do Ceará,1,0.33%
51,RJ,Universidade Estadual do Norte Fluminense,1,0.33%
52,PR,Universidade Estadual do Paraná,1,0.33%
53,PB,Universidade Federal de Campina Grande,1,0.33%
54,RR,Universidade Federal de Roraima,1,0.33%
55,SP,Universidade Federal do ABC,1,0.33%
56,AP,Universidade Federal do Amapá,1,0.33%
57,BA,Universidade Federal do Oeste da Bahia,1,0.33%
58,PA,Universidade Federal do Oeste do Pará,1,0.33%
59,PR,Universidade Federal do Paraná,1,0.33%
60,RJ,Universidade Federal do Rio de Janeiro,1,0.33%
61,BA,Universidade Federal do Sul da Bahia,1,0.33%
62,PI,Instituto Federal do Piauí,1,0.33%
63,RS,Instituto Federal do Rio Grande do Sul,1,0.33%
64,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.33%
