,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,61,27.35%
1,SP,Universidade Estadual de Campinas,16,7.17%
2,PB,Universidade Estadual da Paraíba,7,3.14%
3,AM,Universidade Federal do Amazonas,7,3.14%
4,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,2.69%
5,BA,Universidade do Estado da Bahia,6,2.69%
6,MS,Universidade Estadual de Mato Grosso do Sul,6,2.69%
7,RJ,Universidade Federal do Rio de Janeiro,6,2.69%
8,RJ,Universidade do Estado do Rio de Janeiro,5,2.24%
9,RS,Universidade Federal de Pelotas,5,2.24%
10,MT,Universidade Federal do Mato Grosso,5,2.24%
11,SP,Universidade de São Paulo,4,1.79%
12,MT,Universidade do Estado de Mato Grosso,4,1.79%
13,PR,Universidade Estadual de Londrina,4,1.79%
14,PR,Universidade Estadual de Maringá,4,1.79%
15,SE,Universidade Federal de Sergipe,4,1.79%
16,MG,Universidade Federal de Uberlândia,4,1.79%
17,MA,Universidade Federal do Maranhão,4,1.79%
18,PE,Universidade Federal Rural de Pernambuco,4,1.79%
19,BA,Universidade Estadual de Feira de Santana,3,1.35%
20,PB,Universidade Federal da Paraíba,3,1.35%
21,AL,Universidade Federal de Alagoas,3,1.35%
22,PA,Universidade Federal do Pará,3,1.35%
23,MS,Universidade Federal de Mato Grosso do Sul,3,1.35%
24,CE,Universidade Estadual do Vale do Acaraú,3,1.35%
25,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,0.90%
26,GO,Universidade Estadual de Goiás,2,0.90%
27,PR,Universidade Estadual do Oeste do Paraná,2,0.90%
28,BA,Universidade Estadual do Sudoeste da Bahia,2,0.90%
29,PR,Universidade Federal da Integração Latino-Americana,2,0.90%
30,MG,Universidade Federal de Ouro Preto,2,0.90%
31,RS,Universidade Federal de Rio Grande,2,0.90%
32,RO,Universidade Federal de Rondônia,2,0.90%
33,AC,Universidade Federal do Acre,2,0.90%
34,AP,Universidade Federal do Amapá,2,0.90%
35,RS,Universidade Federal do Rio Grande do Sul,2,0.90%
36,PR,Universidade Tecnológica Federal do Paraná,2,0.90%
37,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.45%
38,TO,Universidade de Guripi,1,0.45%
39,SC,Universidade do Estado de Santa Catarina,1,0.45%
40,AM,Universidade do Estado do Amazonas,1,0.45%
41,BA,Universidade Estadual de Santa Cruz,1,0.45%
42,CE,Universidade Estadual do Ceará,1,0.45%
43,PR,Universidade Estadual do Centro-Oeste,1,0.45%
44,RJ,Universidade Estadual do Norte Fluminense,1,0.45%
45,PR,Universidade Estadual do Paraná,1,0.45%
46,PB,Universidade Federal de Campina Grande,1,0.45%
47,RS,Universidade Federal de Santa Maria,1,0.45%
48,SP,Universidade Federal de São Carlos,1,0.45%
49,MG,Universidade Federal de Viçosa,1,0.45%
50,CE,Universidade Federal do Ceará,1,0.45%
51,PA,Universidade Federal do Oeste do Pará,1,0.45%
52,RJ,Universidade Federal Fluminense,1,0.45%
53,PI,Instituto Federal do Piauí,1,0.45%
54,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.45%
55,MS,Universidade Federal da Grande Dourados,1,0.45%
