,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,226,5.60%
1,RJ,Universidade do Estado do Rio de Janeiro,202,5.01%
2,SP,Universidade Estadual de Campinas,180,4.46%
3,MA,Universidade Federal do Maranhão,113,2.80%
4,DF,Universidade de Brasília,109,2.70%
5,RJ,Universidade Federal Fluminense,101,2.50%
6,PR,Universidade Estadual de Londrina,92,2.28%
7,BA,Universidade do Estado da Bahia,90,2.23%
8,SP,Universidade Federal do ABC,89,2.21%
9,AM,Universidade Federal do Amazonas,87,2.16%
10,PE,Universidade Federal do Vale do São Francisco,82,2.03%
11,BA,Universidade Federal do Sul da Bahia,81,2.01%
12,BA,Universidade Estadual de Santa Cruz,69,1.71%
13,MS,Universidade Federal da Grande Dourados,69,1.71%
14,RS,Universidade Federal do Rio Grande do Sul,69,1.71%
15,PR,Universidade Estadual de Ponta Grossa,67,1.66%
16,RJ,Universidade Estadual do Norte Fluminense,67,1.66%
17,MG,Centro Federal de Educação Tecnológica de Minas Gerais,63,1.56%
18,CE,Universidade Estadual do Ceará,62,1.54%
19,PE,Universidade Federal Rural de Pernambuco,61,1.51%
20,AC,Universidade Federal do Acre,60,1.49%
21,PR,Universidade Estadual de Maringá,59,1.46%
22,BA,Universidade Estadual de Feira de Santana,58,1.44%
23,PR,Universidade Estadual do Oeste do Paraná,58,1.44%
24,RS,Universidade Federal de Pelotas,58,1.44%
25,PR,Universidade Estadual do Paraná,54,1.34%
26,MT,Universidade do Estado de Mato Grosso,53,1.31%
27,PI,Universidade Federal do Piauí,53,1.31%
28,RJ,Universidade Federal do Rio de Janeiro,50,1.24%
29,MG,Universidade Federal de Lavras,49,1.21%
30,PI,Instituto Federal do Piauí,48,1.19%
31,MS,Universidade Federal de Mato Grosso do Sul,47,1.16%
32,RO,Universidade Federal de Rondônia,45,1.12%
33,MT,Universidade Federal do Mato Grosso,45,1.12%
34,PR,Universidade Tecnológica Federal do Paraná,44,1.09%
35,SP,Universidade de São Paulo,41,1.02%
36,PR,Universidade Federal da Integração Latino-Americana,40,0.99%
37,RS,Instituto Federal do Rio Grande do Sul,39,0.97%
38,PA,Universidade do Estado do Pará,39,0.97%
39,MG,Universidade Federal de São João del-Rei,39,0.97%
40,MG,Universidade Federal de Viçosa,38,0.94%
41,RJ,Universidade Federal Rural do Rio de Janeiro,37,0.92%
42,MG,Universidade Federal de Juiz de Fora,36,0.89%
43,RS,Universidade Federal de Santa Maria,36,0.89%
44,SE,Universidade Federal de Sergipe,35,0.87%
45,BA,Universidade Estadual do Sudoeste da Bahia,34,0.84%
46,CE,Universidade Estadual do Vale do Acaraú,34,0.84%
47,DF,Universidade do Distrito Federal,33,0.82%
48,MG,Universidade Federal de Uberlândia,32,0.79%
49,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,31,0.77%
50,AL,Universidade Federal de Alagoas,31,0.77%
51,MG,Universidade Federal de Ouro Preto,30,0.74%
52,SC,Universidade do Estado de Santa Catarina,29,0.72%
53,PR,Universidade Federal do Paraná,29,0.72%
54,CE,Universidade Federal do Ceará,28,0.69%
55,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,28,0.69%
56,GO,Universidade Federal de Goiás,27,0.67%
57,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25,0.62%
58,PA,Universidade Federal Rural da Amazônia,25,0.62%
59,GO,Universidade Estadual de Goiás,24,0.59%
60,PB,Universidade Federal de Campina Grande,24,0.59%
61,MT,Universidade Federal de Rondonópolis,24,0.59%
62,PB,Universidade Estadual da Paraíba,21,0.52%
63,MS,Universidade Estadual de Mato Grosso do Sul,21,0.52%
64,PA,Universidade Federal do Pará,21,0.52%
65,CE,Universidade Regional do Cariri,19,0.47%
66,SP,Universidade Federal de São Carlos,19,0.47%
67,PE,Universidade de Pernambuco,18,0.45%
68,PA,Universidade Federal do Oeste do Pará,17,0.42%
69,PR,Universidade Estadual do Norte do Paraná,14,0.35%
70,PI,Universidade Estadual do Piauí,14,0.35%
71,AP,Universidade Federal do Amapá,13,0.32%
72,PR,Universidade Estadual do Centro-Oeste,11,0.27%
73,RS,Universidade Federal de Rio Grande,11,0.27%
74,SP,Universidade Federal de São Paulo,11,0.27%
75,PB,Universidade Federal da Paraíba,10,0.25%
76,RR,Universidade Federal de Roraima,10,0.25%
77,BA,Universidade Federal do Recôncavo da Bahia,10,0.25%
78,SP,Universidade Estadual Paulista,9,0.22%
79,BA,Universidade Federal da Bahia,9,0.22%
80,SC,Universidade Federal da Fronteira Sul,9,0.22%
81,BA,Universidade Federal do Oeste da Bahia,9,0.22%
82,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,8,0.20%
83,AM,Universidade do Estado do Amazonas,8,0.20%
84,PE,Universidade Federal de Pernambuco,8,0.20%
85,RJ,Universidade Federal do Estado do Rio de Janeiro,7,0.17%
86,MG,Universidade do Estado de Minas Gerais,5,0.12%
87,RR,Universidade Estadual de Roraima,5,0.12%
88,RN,Universidade Federal do Rio Grande do Norte,5,0.12%
89,TO,Universidade Federal do Tocantins,5,0.12%
90,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,4,0.10%
91,TO,Universidade de Guripi,4,0.10%
92,MA,Universidade Estadual do Maranhão,4,0.10%
93,GO,Universidade Federal de Catalão,4,0.10%
94,MG,Universidade Federal de Minas Gerais,4,0.10%
95,PI,Universidade Federal do Delta do Parnaíba,4,0.10%
96,PA,Universidade Federal do Sul e Sudeste do Pará,4,0.10%
97,GO,Instituto Federal de Goiás,3,0.07%
98,PR,Instituto Federal do Paraná,3,0.07%
99,SP,Secretaria Municipal de Educação de São Paulo,3,0.07%
100,MG,Universidade Federal do Triângulo Mineiro,3,0.07%
101,RN,Universidade Federal Rural do Semi-Árido,3,0.07%
102,RR,Instituto Federal de Roraima,2,0.05%
103,MA,Instituto Federal do Maranhão,2,0.05%
104,AP,Universidade Estado do Amapá,2,0.05%
105,MG,Universidade Estadual de Montes Claros,2,0.05%
106,PE,Universidade Federal do Agreste de Pernambuco,2,0.05%
107,BA,Centro Estadual de Educação Profissional em Biotecnologia e Saúde,1,0.02%
108,SP,Faculdade de Medicina de Jundiaí,1,0.02%
109,ES,Faculdade de Música do Espírito Santo,1,0.02%
110,AL,Instituto Federal de Alagoas,1,0.02%
111,MT,Instituto Federal de Mato Grosso,1,0.02%
112,PE,Instituto Federal de Pernambuco,1,0.02%
113,RO,Instituto Federal de Rondônia,1,0.02%
114,SP,Instituto Federal de São Paulo,1,0.02%
115,CE,Instituto Federal do Ceará,1,0.02%
116,RJ,Instituto Federal do Rio de Janeiro,1,0.02%
117,MG,Instituto Federal do Sudeste Mineiro,1,0.02%
118,RJ,Instituto Federal Fluminense,1,0.02%
119,PA,Instituto Federal do Pará,1,0.02%
120,MG,Instituto Federal de Minas Gerais,1,0.02%
121,MT,Instituto Saberes,1,0.02%
122,RS,Nhamandu Nhemopuã,1,0.02%
123,SP,Secretaria da Educação de Diadema,1,0.02%
124,RJ,Secretaria de Educação do Rio de Janeiro,1,0.02%
125,BA,Secretaria Municipal de Educação da Bahia,1,0.02%
126,RS,Universidade de Santa Cruz do Sul,1,0.02%
127,RN,Universidade do Estado do Rio Grande do Norte,1,0.02%
128,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.02%
129,MG,Universidade Federal de Alfenas,1,0.02%
130,MG,Universidade Federal de Itajubá,1,0.02%
131,SC,Universidade Federal de Santa Catarina,1,0.02%
132,TO,Universidade Federal do Norte de Tocantins,1,0.02%
133,RS,Universidade Federal do Pampa,1,0.02%
