,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,63,27.16%
1,SP,Universidade Estadual de Campinas,18,7.76%
2,PB,Universidade Estadual da Paraíba,7,3.02%
3,AM,Universidade Federal do Amazonas,7,3.02%
4,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,2.59%
5,BA,Universidade do Estado da Bahia,6,2.59%
6,MS,Universidade Estadual de Mato Grosso do Sul,6,2.59%
7,RJ,Universidade Federal do Rio de Janeiro,6,2.59%
8,RJ,Universidade do Estado do Rio de Janeiro,5,2.16%
9,BA,Universidade Estadual de Feira de Santana,5,2.16%
10,RS,Universidade Federal de Pelotas,5,2.16%
11,MT,Universidade Federal do Mato Grosso,5,2.16%
12,SP,Universidade de São Paulo,4,1.72%
13,MT,Universidade do Estado de Mato Grosso,4,1.72%
14,PR,Universidade Estadual de Londrina,4,1.72%
15,PR,Universidade Estadual de Maringá,4,1.72%
16,SE,Universidade Federal de Sergipe,4,1.72%
17,MG,Universidade Federal de Uberlândia,4,1.72%
18,MA,Universidade Federal do Maranhão,4,1.72%
19,PE,Universidade Federal Rural de Pernambuco,4,1.72%
20,PB,Universidade Federal da Paraíba,3,1.29%
21,AL,Universidade Federal de Alagoas,3,1.29%
22,AC,Universidade Federal do Acre,3,1.29%
23,PA,Universidade Federal do Pará,3,1.29%
24,MS,Universidade Federal de Mato Grosso do Sul,3,1.29%
25,CE,Universidade Estadual do Vale do Acaraú,3,1.29%
26,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,0.86%
27,GO,Universidade Estadual de Goiás,2,0.86%
28,BA,Universidade Estadual de Santa Cruz,2,0.86%
29,PR,Universidade Estadual do Oeste do Paraná,2,0.86%
30,BA,Universidade Estadual do Sudoeste da Bahia,2,0.86%
31,PR,Universidade Federal da Integração Latino-Americana,2,0.86%
32,MG,Universidade Federal de Ouro Preto,2,0.86%
33,RS,Universidade Federal de Rio Grande,2,0.86%
34,RO,Universidade Federal de Rondônia,2,0.86%
35,AP,Universidade Federal do Amapá,2,0.86%
36,RS,Universidade Federal do Rio Grande do Sul,2,0.86%
37,PR,Universidade Tecnológica Federal do Paraná,2,0.86%
38,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.43%
39,TO,Universidade de Guripi,1,0.43%
40,SC,Universidade do Estado de Santa Catarina,1,0.43%
41,AM,Universidade do Estado do Amazonas,1,0.43%
42,CE,Universidade Estadual do Ceará,1,0.43%
43,PR,Universidade Estadual do Centro-Oeste,1,0.43%
44,RJ,Universidade Estadual do Norte Fluminense,1,0.43%
45,PR,Universidade Estadual do Paraná,1,0.43%
46,PB,Universidade Federal de Campina Grande,1,0.43%
47,RS,Universidade Federal de Santa Maria,1,0.43%
48,MG,Universidade Federal de Viçosa,1,0.43%
49,CE,Universidade Federal do Ceará,1,0.43%
50,TO,Universidade Federal do Norte de Tocantins,1,0.43%
51,PA,Universidade Federal do Oeste do Pará,1,0.43%
52,RJ,Universidade Federal Fluminense,1,0.43%
53,PI,Instituto Federal do Piauí,1,0.43%
54,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.43%
55,SP,Universidade Federal de São Carlos,1,0.43%
56,MS,Universidade Federal da Grande Dourados,1,0.43%
