,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,237,5.42%
1,SP,Universidade Estadual de Campinas,222,5.08%
2,RJ,Universidade do Estado do Rio de Janeiro,213,4.87%
3,DF,Universidade de Brasília,133,3.04%
4,MA,Universidade Federal do Maranhão,114,2.61%
5,RJ,Universidade Federal Fluminense,112,2.56%
6,AM,Universidade Federal do Amazonas,94,2.15%
7,BA,Universidade do Estado da Bahia,92,2.10%
8,PR,Universidade Estadual de Londrina,92,2.10%
9,SP,Universidade Federal do ABC,89,2.04%
10,BA,Universidade Estadual de Feira de Santana,85,1.94%
11,BA,Universidade Federal do Sul da Bahia,84,1.92%
12,BA,Universidade Estadual de Santa Cruz,83,1.90%
13,PE,Universidade Federal do Vale do São Francisco,82,1.88%
14,MS,Universidade Federal da Grande Dourados,71,1.62%
15,RS,Universidade Federal do Rio Grande do Sul,70,1.60%
16,RJ,Universidade Federal do Rio de Janeiro,68,1.55%
17,PR,Universidade Estadual de Ponta Grossa,67,1.53%
18,RJ,Universidade Estadual do Norte Fluminense,67,1.53%
19,MG,Centro Federal de Educação Tecnológica de Minas Gerais,64,1.46%
20,AC,Universidade Federal do Acre,64,1.46%
21,CE,Universidade Estadual do Ceará,63,1.44%
22,PR,Universidade Estadual de Maringá,61,1.39%
23,PE,Universidade Federal Rural de Pernambuco,61,1.39%
24,RS,Universidade Federal de Pelotas,60,1.37%
25,PR,Universidade Estadual do Oeste do Paraná,58,1.33%
26,PI,Universidade Federal do Piauí,58,1.33%
27,RS,Universidade Federal de Santa Maria,55,1.26%
28,PR,Universidade Estadual do Paraná,54,1.23%
29,MT,Universidade do Estado de Mato Grosso,53,1.21%
30,PI,Instituto Federal do Piauí,51,1.17%
31,MG,Universidade Federal de Lavras,49,1.12%
32,MS,Universidade Federal de Mato Grosso do Sul,48,1.10%
33,RO,Universidade Federal de Rondônia,46,1.05%
34,MT,Universidade Federal do Mato Grosso,46,1.05%
35,PR,Universidade Tecnológica Federal do Paraná,46,1.05%
36,SP,Universidade de São Paulo,43,0.98%
37,RS,Instituto Federal do Rio Grande do Sul,42,0.96%
38,BA,Universidade Estadual do Sudoeste da Bahia,42,0.96%
39,PR,Universidade Federal da Integração Latino-Americana,41,0.94%
40,MG,Universidade Federal de Viçosa,41,0.94%
41,MG,Universidade Federal de São João del-Rei,40,0.91%
42,PA,Universidade do Estado do Pará,39,0.89%
43,RJ,Universidade Federal Rural do Rio de Janeiro,39,0.89%
44,MG,Universidade Federal de Juiz de Fora,38,0.87%
45,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,37,0.85%
46,SE,Universidade Federal de Sergipe,37,0.85%
47,CE,Universidade Estadual do Vale do Acaraú,34,0.78%
