,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,32,31.68%
1,SP,Universidade Estadual de Campinas,7,6.93%
2,RJ,Universidade do Estado do Rio de Janeiro,5,4.95%
3,MS,Universidade Estadual de Mato Grosso do Sul,4,3.96%
4,DF,Universidade de Brasília,3,2.97%
5,MG,Universidade Federal de Viçosa,3,2.97%
6,MA,Universidade Federal do Maranhão,3,2.97%
7,RS,Universidade Federal do Rio Grande do Sul,3,2.97%
8,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,1.98%
9,BA,Universidade do Estado da Bahia,2,1.98%
10,MT,Universidade do Estado de Mato Grosso,2,1.98%
11,GO,Universidade Estadual de Goiás,2,1.98%
12,PR,Universidade Estadual de Londrina,2,1.98%
13,PR,Universidade Estadual de Maringá,2,1.98%
14,MG,Universidade Federal de Juiz de Fora,2,1.98%
15,MT,Universidade Federal do Mato Grosso,2,1.98%
16,RJ,Universidade Federal Fluminense,2,1.98%
17,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.99%
18,ES,Faculdade de Música do Espírito Santo,1,0.99%
19,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.99%
20,RS,Instituto Federal do Rio Grande do Sul,1,0.99%
21,AM,Universidade do Estado do Amazonas,1,0.99%
22,PB,Universidade Estadual da Paraíba,1,0.99%
23,PR,Universidade Estadual do Oeste do Paraná,1,0.99%
24,AL,Universidade Federal de Alagoas,1,0.99%
25,RO,Universidade Federal de Rondônia,1,0.99%
26,RR,Universidade Federal de Roraima,1,0.99%
27,RS,Universidade Federal de Santa Maria,1,0.99%
28,SP,Universidade Federal de São Carlos,1,0.99%
29,SE,Universidade Federal de Sergipe,1,0.99%
30,SP,Universidade Federal do ABC,1,0.99%
31,AC,Universidade Federal do Acre,1,0.99%
32,AM,Universidade Federal do Amazonas,1,0.99%
33,CE,Universidade Federal do Ceará,1,0.99%
34,BA,Universidade Federal do Oeste da Bahia,1,0.99%
35,PR,Universidade Federal do Paraná,1,0.99%
36,RJ,Universidade Federal do Rio de Janeiro,1,0.99%
37,BA,Universidade Federal do Sul da Bahia,1,0.99%
38,CE,Universidade Estadual do Vale do Acaraú,1,0.99%
39,MS,Universidade Federal da Grande Dourados,1,0.99%
