,UF,Instituição de ensino,Contagem,Porcentagem
111,BA,Centro Estadual de Educação Profissional em Biotecnologia e Saúde,1,0.02%
112,RJ,Colégio Pedro II,1,0.02%
113,SP,Faculdade de Medicina de Jundiaí,1,0.02%
114,ES,Faculdade de Música do Espírito Santo,1,0.02%
115,SP,Faculdade de Tecnologia Sebrae,1,0.02%
116,AL,Instituto Federal de Alagoas,1,0.02%
117,MT,Instituto Federal de Mato Grosso,1,0.02%
118,RO,Instituto Federal de Rondônia,1,0.02%
119,SP,Instituto Federal de São Paulo,1,0.02%
120,AC,Instituto Federal do Acre,1,0.02%
121,CE,Instituto Federal do Ceará,1,0.02%
122,RJ,Instituto Federal do Rio de Janeiro,1,0.02%
123,RS,Instituto Federal Farroupilha,1,0.02%
124,RJ,Instituto Federal Fluminense,1,0.02%
125,PA,Instituto Federal do Pará,1,0.02%
126,MT,Instituto Saberes,1,0.02%
127,RJ,Instituto Superior de Educação do Rio de Janeiro,1,0.02%
128,RS,Nhamandu Nhemopuã,1,0.02%
129,SP,Secretaria da Educação de Diadema,1,0.02%
130,MT,Secretaria de Educação de Mato Grosso,1,0.02%
131,RJ,Secretaria de Educação do Rio de Janeiro,1,0.02%
132,BA,Secretaria Municipal de Educação de Salvador,1,0.02%
133,RS,Universidade de Santa Cruz do Sul,1,0.02%
134,RN,Universidade do Estado do Rio Grande do Norte,1,0.02%
135,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.02%
136,MG,Universidade Federal de Itajubá,1,0.02%
137,SC,Universidade Federal de Santa Catarina,1,0.02%
138,TO,Universidade Federal do Norte de Tocantins,1,0.02%
139,RS,Universidade Federal do Pampa,1,0.02%
140,MG,Instituto Federal do Sul de Minas Gerais,1,0.02%
