,UF,Instituição de ensino,Contagem,Porcentagem
0,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,1.20%
1,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.30%
2,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,1.80%
3,ES,Faculdade de Música do Espírito Santo,1,0.30%
4,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,0.60%
5,DF,Universidade de Brasília,3,0.90%
6,TO,Universidade de Guripi,1,0.30%
7,SP,Universidade de São Paulo,4,1.20%
8,BA,Universidade do Estado da Bahia,8,2.40%
9,MT,Universidade do Estado de Mato Grosso,6,1.80%
10,SC,Universidade do Estado de Santa Catarina,1,0.30%
11,AM,Universidade do Estado do Amazonas,2,0.60%
12,RJ,Universidade do Estado do Rio de Janeiro,10,3.00%
13,PB,Universidade Estadual da Paraíba,8,2.40%
14,SP,Universidade Estadual de Campinas,25,7.51%
15,BA,Universidade Estadual de Feira de Santana,4,1.20%
16,GO,Universidade Estadual de Goiás,4,1.20%
17,PR,Universidade Estadual de Londrina,6,1.80%
18,PR,Universidade Estadual de Maringá,6,1.80%
19,MS,Universidade Estadual de Mato Grosso do Sul,10,3.00%
20,BA,Universidade Estadual de Santa Cruz,2,0.60%
21,CE,Universidade Estadual do Ceará,1,0.30%
22,PR,Universidade Estadual do Centro-Oeste,1,0.30%
23,RJ,Universidade Estadual do Norte Fluminense,1,0.30%
24,PR,Universidade Estadual do Oeste do Paraná,3,0.90%
25,PR,Universidade Estadual do Paraná,1,0.30%
26,BA,Universidade Estadual do Sudoeste da Bahia,2,0.60%
27,PR,Universidade Federal da Integração Latino-Americana,2,0.60%
28,PB,Universidade Federal da Paraíba,3,0.90%
29,AL,Universidade Federal de Alagoas,4,1.20%
30,PB,Universidade Federal de Campina Grande,1,0.30%
31,MG,Universidade Federal de Juiz de Fora,2,0.60%
32,MG,Universidade Federal de Ouro Preto,2,0.60%
33,RS,Universidade Federal de Pelotas,5,1.50%
34,RS,Universidade Federal de Rio Grande,2,0.60%
35,RO,Universidade Federal de Rondônia,3,0.90%
36,RR,Universidade Federal de Roraima,1,0.30%
37,RS,Universidade Federal de Santa Maria,2,0.60%
38,SE,Universidade Federal de Sergipe,5,1.50%
39,MG,Universidade Federal de Uberlândia,4,1.20%
40,MG,Universidade Federal de Viçosa,4,1.20%
41,SP,Universidade Federal do ABC,1,0.30%
42,AC,Universidade Federal do Acre,4,1.20%
43,AP,Universidade Federal do Amapá,2,0.60%
44,AM,Universidade Federal do Amazonas,8,2.40%
45,CE,Universidade Federal do Ceará,2,0.60%
46,ES,Universidade Federal do Espírito Santo,95,28.53%
47,MA,Universidade Federal do Maranhão,7,2.10%
48,MT,Universidade Federal do Mato Grosso,7,2.10%
49,TO,Universidade Federal do Norte de Tocantins,1,0.30%
50,BA,Universidade Federal do Oeste da Bahia,1,0.30%
51,PA,Universidade Federal do Oeste do Pará,1,0.30%
52,PA,Universidade Federal do Pará,3,0.90%
53,PR,Universidade Federal do Paraná,1,0.30%
54,RJ,Universidade Federal do Rio de Janeiro,7,2.10%
55,RS,Universidade Federal do Rio Grande do Sul,5,1.50%
56,BA,Universidade Federal do Sul da Bahia,1,0.30%
57,RJ,Universidade Federal Fluminense,4,1.20%
58,PE,Universidade Federal Rural de Pernambuco,4,1.20%
59,PR,Universidade Tecnológica Federal do Paraná,2,0.60%
60,PI,Instituto Federal do Piauí,1,0.30%
61,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.30%
62,RS,Instituto Federal do Rio Grande do Sul,1,0.30%
63,MS,Universidade Federal de Mato Grosso do Sul,3,0.90%
64,CE,Universidade Estadual do Vale do Acaraú,4,1.20%
65,MS,Universidade Federal da Grande Dourados,2,0.60%
66,SP,Universidade Federal de São Carlos,2,0.60%
