,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,27,33.33%
1,SP,Universidade Estadual de Campinas,7,8.64%
2,MS,Universidade Estadual de Mato Grosso do Sul,4,4.94%
3,DF,Universidade de Brasília,3,3.70%
4,MG,Universidade Federal de Viçosa,3,3.70%
5,MA,Universidade Federal do Maranhão,3,3.70%
6,BA,Universidade do Estado da Bahia,2,2.47%
7,MT,Universidade do Estado de Mato Grosso,2,2.47%
8,GO,Universidade Estadual de Goiás,2,2.47%
9,PR,Universidade Estadual de Maringá,2,2.47%
10,MT,Universidade Federal do Mato Grosso,2,2.47%
11,RS,Universidade Federal do Rio Grande do Sul,2,2.47%
12,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,1.23%
13,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,1.23%
14,ES,Faculdade de Música do Espírito Santo,1,1.23%
15,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,1.23%
16,RS,Instituto Federal do Rio Grande do Sul,1,1.23%
17,AM,Universidade do Estado do Amazonas,1,1.23%
18,PB,Universidade Estadual da Paraíba,1,1.23%
19,PR,Universidade Estadual de Londrina,1,1.23%
20,PR,Universidade Estadual do Oeste do Paraná,1,1.23%
21,CE,Universidade Estadual do Vale do Acaraú,1,1.23%
22,MG,Universidade Federal de Juiz de Fora,1,1.23%
23,RO,Universidade Federal de Rondônia,1,1.23%
24,RR,Universidade Federal de Roraima,1,1.23%
25,RS,Universidade Federal de Santa Maria,1,1.23%
26,SP,Universidade Federal de São Carlos,1,1.23%
27,SP,Universidade Federal do ABC,1,1.23%
28,AC,Universidade Federal do Acre,1,1.23%
29,AM,Universidade Federal do Amazonas,1,1.23%
30,CE,Universidade Federal do Ceará,1,1.23%
31,BA,Universidade Federal do Oeste da Bahia,1,1.23%
32,PR,Universidade Federal do Paraná,1,1.23%
33,BA,Universidade Federal do Sul da Bahia,1,1.23%
