,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,199,5.80%
1,SP,Universidade Estadual de Campinas,173,5.04%
2,MA,Universidade Federal do Maranhão,101,2.94%
3,RJ,Universidade do Estado do Rio de Janeiro,93,2.71%
4,PR,Universidade Estadual de Londrina,90,2.62%
5,SP,Universidade Federal do ABC,89,2.59%
6,BA,Universidade do Estado da Bahia,88,2.57%
7,PE,Universidade Federal do Vale do São Francisco,82,2.39%
8,AM,Universidade Federal do Amazonas,78,2.27%
9,DF,Universidade de Brasília,73,2.13%
10,BA,Universidade Estadual de Santa Cruz,68,1.98%
11,RS,Universidade Federal do Rio Grande do Sul,67,1.95%
12,BA,Universidade Federal do Sul da Bahia,67,1.95%
13,MG,Centro Federal de Educação Tecnológica de Minas Gerais,62,1.81%
14,CE,Universidade Estadual do Ceará,61,1.78%
15,PE,Universidade Federal Rural de Pernambuco,60,1.75%
16,RJ,Universidade Estadual do Norte Fluminense,59,1.72%
17,BA,Universidade Estadual de Feira de Santana,58,1.69%
18,PR,Universidade Estadual do Oeste do Paraná,58,1.69%
19,RS,Universidade Federal de Pelotas,57,1.66%
20,MT,Universidade do Estado de Mato Grosso,52,1.52%
21,PR,Universidade Estadual do Paraná,52,1.52%
22,AC,Universidade Federal do Acre,50,1.46%
23,RJ,Universidade Federal do Rio de Janeiro,49,1.43%
24,MG,Universidade Federal de Lavras,48,1.40%
25,PI,Instituto Federal do Piauí,46,1.34%
26,RO,Universidade Federal de Rondônia,44,1.28%
27,MT,Universidade Federal do Mato Grosso,44,1.28%
28,PR,Universidade Estadual de Maringá,43,1.25%
29,PR,Universidade Tecnológica Federal do Paraná,43,1.25%
30,PI,Universidade Federal do Piauí,41,1.20%
31,PR,Universidade Federal da Integração Latino-Americana,40,1.17%
32,PA,Universidade do Estado do Pará,39,1.14%
33,MS,Universidade Federal de Mato Grosso do Sul,39,1.14%
34,MG,Universidade Federal de São João del-Rei,39,1.14%
35,MS,Universidade Federal da Grande Dourados,38,1.11%
36,MG,Universidade Federal de Viçosa,38,1.11%
37,RS,Instituto Federal do Rio Grande do Sul,37,1.08%
38,RS,Universidade Federal de Santa Maria,36,1.05%
39,RJ,Universidade Federal Rural do Rio de Janeiro,35,1.02%
40,SP,Universidade de São Paulo,34,0.99%
41,BA,Universidade Estadual do Sudoeste da Bahia,34,0.99%
42,MG,Universidade Federal de Juiz de Fora,32,0.93%
43,AL,Universidade Federal de Alagoas,31,0.90%
44,MG,Universidade Federal de Uberlândia,31,0.90%
45,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,29,0.85%
46,SC,Universidade do Estado de Santa Catarina,29,0.85%
47,CE,Universidade Estadual do Vale do Acaraú,29,0.85%
48,CE,Universidade Federal do Ceará,28,0.82%
