,UF,Instituição de ensino,Contagem,Porcentagem
0,SP,Universidade Estadual de Campinas,52,5.11%
1,ES,Universidade Federal do Espírito Santo,52,5.11%
2,BA,Universidade do Estado da Bahia,33,3.24%
3,MA,Universidade Federal do Maranhão,32,3.15%
4,SP,Universidade Federal do ABC,30,2.95%
5,RJ,Universidade do Estado do Rio de Janeiro,26,2.56%
6,PR,Universidade Estadual de Londrina,26,2.56%
7,MG,Centro Federal de Educação Tecnológica de Minas Gerais,22,2.16%
8,BA,Universidade Federal do Sul da Bahia,22,2.16%
9,PI,Instituto Federal do Piauí,22,2.16%
10,AM,Universidade Federal do Amazonas,21,2.06%
11,PE,Universidade Federal do Vale do São Francisco,21,2.06%
12,DF,Universidade de Brasília,20,1.97%
13,PR,Universidade Estadual do Paraná,20,1.97%
14,RS,Universidade Federal de Pelotas,20,1.97%
15,PE,Universidade Federal Rural de Pernambuco,20,1.97%
16,BA,Universidade Estadual de Feira de Santana,18,1.77%
17,MS,Universidade Federal da Grande Dourados,18,1.77%
18,RS,Universidade Federal do Rio Grande do Sul,18,1.77%
19,MT,Universidade Federal do Mato Grosso,17,1.67%
20,RS,Instituto Federal do Rio Grande do Sul,17,1.67%
21,DF,Universidade do Distrito Federal,16,1.57%
22,BA,Universidade Estadual de Santa Cruz,16,1.57%
23,RO,Universidade Federal de Rondônia,16,1.57%
24,MT,Universidade do Estado de Mato Grosso,15,1.47%
25,CE,Universidade Estadual do Ceará,15,1.47%
26,MG,Universidade Federal de Ouro Preto,15,1.47%
27,RJ,Universidade Federal do Rio de Janeiro,14,1.38%
28,PA,Universidade do Estado do Pará,13,1.28%
29,PR,Universidade Estadual do Oeste do Paraná,13,1.28%
30,RJ,Universidade Estadual do Norte Fluminense,12,1.18%
31,BA,Universidade Estadual do Sudoeste da Bahia,12,1.18%
32,PR,Universidade Federal da Integração Latino-Americana,12,1.18%
33,AC,Universidade Federal do Acre,12,1.18%
34,SP,Universidade de São Paulo,11,1.08%
35,MG,Universidade Federal de Juiz de Fora,11,1.08%
36,MG,Universidade Federal de São João del-Rei,11,1.08%
37,RJ,Universidade Federal Rural do Rio de Janeiro,11,1.08%
38,MS,Universidade Federal de Mato Grosso do Sul,10,0.98%
39,MG,Universidade Federal de Uberlândia,10,0.98%
40,PR,Universidade Federal do Paraná,10,0.98%
41,PI,Universidade Federal do Piauí,10,0.98%
42,SC,Universidade do Estado de Santa Catarina,9,0.88%
43,MS,Universidade Estadual de Mato Grosso do Sul,9,0.88%
44,RS,Universidade Federal de Santa Maria,9,0.88%
45,MG,Universidade Federal de Viçosa,9,0.88%
46,PR,Universidade Tecnológica Federal do Paraná,9,0.88%
47,CE,Universidade Estadual do Vale do Acaraú,9,0.88%
48,PA,Universidade Federal Rural da Amazônia,8,0.79%
49,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,7,0.69%
50,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,7,0.69%
51,GO,Universidade Estadual de Goiás,7,0.69%
52,PR,Universidade Estadual de Maringá,7,0.69%
53,AL,Universidade Federal de Alagoas,7,0.69%
54,MG,Universidade Federal de Lavras,7,0.69%
55,SE,Universidade Federal de Sergipe,7,0.69%
56,MT,Universidade Federal de Rondonópolis,6,0.59%
57,CE,Universidade Federal do Ceará,6,0.59%
58,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5,0.49%
59,PE,Universidade de Pernambuco,5,0.49%
60,PB,Universidade Estadual da Paraíba,5,0.49%
61,PB,Universidade Federal de Campina Grande,5,0.49%
62,CE,Universidade Regional do Cariri,5,0.49%
63,PR,Universidade Estadual de Ponta Grossa,4,0.39%
64,PR,Universidade Estadual do Norte do Paraná,4,0.39%
65,SC,Universidade Federal da Fronteira Sul,4,0.39%
66,SP,Universidade Federal de São Carlos,4,0.39%
67,SP,Universidade Federal de São Paulo,4,0.39%
68,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,4,0.39%
69,MA,Universidade Estadual do Maranhão,3,0.29%
70,PE,Universidade Federal de Pernambuco,3,0.29%
71,PA,Universidade Federal do Pará,3,0.29%
72,BA,Universidade Federal do Recôncavo da Bahia,3,0.29%
73,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2,0.20%
74,TO,Universidade de Guripi,2,0.20%
75,MG,Universidade do Estado de Minas Gerais,2,0.20%
76,AP,Universidade Estado do Amapá,2,0.20%
77,PR,Universidade Estadual do Centro-Oeste,2,0.20%
78,AP,Universidade Federal do Amapá,2,0.20%
79,PA,Universidade Federal do Oeste do Pará,2,0.20%
80,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.20%
81,RJ,Universidade Federal do Estado do Rio de Janeiro,2,0.20%
82,RN,Universidade Federal Rural do Semi-Árido,2,0.20%
83,BA,Centro Estadual de Educação Profissional em Biotecnologia e Saúde,1,0.10%
84,SP,Colégio Técnico de Campinas,1,0.10%
85,GO,Instituto Federal de Goiás,1,0.10%
86,MT,Instituto Federal de Mato Grosso,1,0.10%
87,RO,Instituto Federal de Roraima,1,0.10%
88,SP,Instituto Federal de São Paulo,1,0.10%
89,MA,Instituto Federal do Maranhão,1,0.10%
90,MT,Instituto Saberes,1,0.10%
91,RS,Nhamandu Nhemopuã,1,0.10%
92,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.10%
93,MG,Universidade Estadual de Montes Claros,1,0.10%
94,PI,Universidade Estadual do Piauí,1,0.10%
95,SP,Universidade Estadual Paulista,1,0.10%
96,BA,Universidade Federal da Bahia,1,0.10%
97,PB,Universidade Federal da Paraíba,1,0.10%
98,MG,Universidade Federal de Alfenas,1,0.10%
99,MG,Universidade Federal de Minas Gerais,1,0.10%
100,RS,Universidade Federal de Rio Grande,1,0.10%
101,PI,Universidade Federal do Delta do Parnaíba,1,0.10%
102,MG,Universidade Federal do Triângulo Mineiro,1,0.10%
103,RJ,Universidade Federal Fluminense,1,0.10%
