,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,167,5.83%
1,RJ,Universidade do Estado do Rio de Janeiro,144,5.03%
2,SP,Universidade Estadual de Campinas,127,4.43%
3,DF,Universidade de Brasília,83,2.90%
4,MA,Universidade Federal do Maranhão,79,2.76%
5,RJ,Universidade Federal Fluminense,76,2.65%
6,PR,Universidade Estadual de Londrina,66,2.30%
7,AM,Universidade Federal do Amazonas,64,2.23%
8,PE,Universidade Federal do Vale do São Francisco,61,2.13%
9,SP,Universidade Federal do ABC,59,2.06%
10,BA,Universidade Federal do Sul da Bahia,58,2.03%
11,BA,Universidade do Estado da Bahia,55,1.92%
12,RJ,Universidade Estadual do Norte Fluminense,54,1.89%
13,PR,Universidade Estadual de Ponta Grossa,53,1.85%
14,BA,Universidade Estadual de Santa Cruz,53,1.85%
15,RS,Universidade Federal do Rio Grande do Sul,51,1.78%
16,MS,Universidade Federal da Grande Dourados,49,1.71%
17,CE,Universidade Estadual do Ceará,47,1.64%
18,AC,Universidade Federal do Acre,46,1.61%
19,PR,Universidade Estadual do Oeste do Paraná,45,1.57%
20,PR,Universidade Estadual de Maringá,43,1.50%
21,MG,Universidade Federal de Lavras,42,1.47%
22,PE,Universidade Federal Rural de Pernambuco,41,1.43%
23,MG,Centro Federal de Educação Tecnológica de Minas Gerais,40,1.40%
24,BA,Universidade Estadual de Feira de Santana,40,1.40%
25,PI,Universidade Federal do Piauí,40,1.40%
26,MT,Universidade do Estado de Mato Grosso,38,1.33%
27,RS,Universidade Federal de Pelotas,38,1.33%
28,RJ,Universidade Federal do Rio de Janeiro,35,1.22%
29,PR,Universidade Tecnológica Federal do Paraná,35,1.22%
30,PR,Universidade Estadual do Paraná,34,1.19%
31,MS,Universidade Federal de Mato Grosso do Sul,34,1.19%
32,MG,Universidade Federal de Viçosa,29,1.01%
33,PR,Universidade Federal da Integração Latino-Americana,28,0.98%
34,RO,Universidade Federal de Rondônia,28,0.98%
35,MG,Universidade Federal de São João del-Rei,28,0.98%
36,MT,Universidade Federal do Mato Grosso,28,0.98%
37,SP,Universidade de São Paulo,27,0.94%
38,RS,Universidade Federal de Santa Maria,27,0.94%
39,PA,Universidade do Estado do Pará,26,0.91%
40,PI,Instituto Federal do Piauí,25,0.87%
41,CE,Universidade Estadual do Vale do Acaraú,25,0.87%
42,SE,Universidade Federal de Sergipe,25,0.87%
43,AL,Universidade Federal de Alagoas,24,0.84%
44,GO,Universidade Federal de Goiás,24,0.84%
45,MG,Universidade Federal de Juiz de Fora,24,0.84%
46,RJ,Universidade Federal Rural do Rio de Janeiro,24,0.84%
47,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,23,0.80%
48,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,23,0.80%
49,BA,Universidade Estadual do Sudoeste da Bahia,22,0.77%
50,MG,Universidade Federal de Uberlândia,22,0.77%
51,CE,Universidade Federal do Ceará,22,0.77%
52,RS,Instituto Federal do Rio Grande do Sul,21,0.73%
53,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,0.70%
54,SC,Universidade do Estado de Santa Catarina,20,0.70%
55,PR,Universidade Federal do Paraná,19,0.66%
56,GO,Universidade Estadual de Goiás,17,0.59%
57,MT,Universidade Federal de Rondonópolis,17,0.59%
58,PB,Universidade Estadual da Paraíba,16,0.56%
59,DF,Universidade do Distrito Federal,15,0.52%
60,MG,Universidade Federal de Ouro Preto,15,0.52%
61,SP,Universidade Federal de São Carlos,15,0.52%
62,PA,Universidade Federal do Oeste do Pará,15,0.52%
63,PA,Universidade Federal Rural da Amazônia,15,0.52%
64,PB,Universidade Federal de Campina Grande,14,0.49%
65,CE,Universidade Regional do Cariri,14,0.49%
66,PE,Universidade de Pernambuco,13,0.45%
67,PA,Universidade Federal do Pará,13,0.45%
68,PI,Universidade Estadual do Piauí,12,0.42%
69,AP,Universidade Federal do Amapá,11,0.38%
70,PR,Universidade Estadual do Norte do Paraná,10,0.35%
71,RS,Universidade Federal de Rio Grande,10,0.35%
72,RR,Universidade Federal de Roraima,10,0.35%
73,MS,Universidade Estadual de Mato Grosso do Sul,9,0.31%
74,PR,Universidade Estadual do Centro-Oeste,9,0.31%
75,PB,Universidade Federal da Paraíba,9,0.31%
76,BA,Universidade Federal do Oeste da Bahia,9,0.31%
77,AM,Universidade do Estado do Amazonas,8,0.28%
78,BA,Universidade Federal da Bahia,8,0.28%
79,SP,Universidade Estadual Paulista,7,0.24%
80,BA,Universidade Federal do Recôncavo da Bahia,7,0.24%
81,RR,Universidade Estadual de Roraima,5,0.17%
82,SC,Universidade Federal da Fronteira Sul,5,0.17%
83,PE,Universidade Federal de Pernambuco,5,0.17%
84,SP,Universidade Federal de São Paulo,5,0.17%
85,RJ,Universidade Federal do Estado do Rio de Janeiro,5,0.17%
86,RN,Universidade Federal do Rio Grande do Norte,5,0.17%
87,GO,Universidade Federal de Catalão,4,0.14%
88,PR,Instituto Federal do Paraná,3,0.10%
89,SP,Secretaria Municipal de Educação de São Paulo,3,0.10%
90,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,3,0.10%
91,MG,Universidade do Estado de Minas Gerais,3,0.10%
92,PI,Universidade Federal do Delta do Parnaíba,3,0.10%
93,TO,Universidade Federal do Tocantins,3,0.10%
94,GO,Instituto Federal de Goiás,2,0.07%
95,TO,Universidade de Guripi,2,0.07%
96,PE,Universidade Federal do Agreste de Pernambuco,2,0.07%
97,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.07%
98,MG,Universidade Federal do Triângulo Mineiro,2,0.07%
99,SP,Faculdade de Medicina de Jundiaí,1,0.03%
100,ES,Faculdade de Música do Espírito Santo,1,0.03%
101,AL,Instituto Federal de Alagoas,1,0.03%
102,RO,Instituto Federal de Rondônia,1,0.03%
103,RR,Instituto Federal de Roraima,1,0.03%
104,CE,Instituto Federal do Ceará,1,0.03%
105,MA,Instituto Federal do Maranhão,1,0.03%
106,MG,Instituto Federal do Sudeste Mineiro,1,0.03%
107,MG,Instituto Federal de Minas Gerais,1,0.03%
108,RJ,Instituto Federal Fluminense,1,0.03%
109,PA,Instituto Federal do Pará,1,0.03%
110,SP,Secretaria da Educação de Diadema,1,0.03%
111,RJ,Secretaria de Educação do Rio de Janeiro,1,0.03%
112,BA,Secretaria Municipal de Educação da Bahia,1,0.03%
113,RS,Universidade de Santa Cruz do Sul,1,0.03%
114,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.03%
115,MG,Universidade Estadual de Montes Claros,1,0.03%
116,MA,Universidade Estadual do Maranhão,1,0.03%
117,MG,Universidade Federal de Itajubá,1,0.03%
118,SC,Universidade Federal de Santa Catarina,1,0.03%
119,TO,Universidade Federal do Norte de Tocantins,1,0.03%
120,RS,Universidade Federal do Pampa,1,0.03%
121,RN,Universidade Federal Rural do Semi-Árido,1,0.03%
