,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,227,5.57%
1,RJ,Universidade do Estado do Rio de Janeiro,208,5.10%
2,SP,Universidade Estadual de Campinas,180,4.42%
3,DF,Universidade de Brasília,114,2.80%
4,MA,Universidade Federal do Maranhão,113,2.77%
5,RJ,Universidade Federal Fluminense,104,2.55%
6,PR,Universidade Estadual de Londrina,92,2.26%
7,BA,Universidade do Estado da Bahia,91,2.23%
8,SP,Universidade Federal do ABC,89,2.18%
9,AM,Universidade Federal do Amazonas,88,2.16%
10,BA,Universidade Federal do Sul da Bahia,84,2.06%
11,PE,Universidade Federal do Vale do São Francisco,82,2.01%
12,MS,Universidade Federal da Grande Dourados,70,1.72%
13,BA,Universidade Estadual de Santa Cruz,69,1.69%
14,RS,Universidade Federal do Rio Grande do Sul,69,1.69%
15,PR,Universidade Estadual de Ponta Grossa,67,1.64%
16,RJ,Universidade Estadual do Norte Fluminense,67,1.64%
17,MG,Centro Federal de Educação Tecnológica de Minas Gerais,63,1.55%
18,CE,Universidade Estadual do Ceará,63,1.55%
19,PE,Universidade Federal Rural de Pernambuco,61,1.50%
20,PR,Universidade Estadual de Maringá,60,1.47%
21,AC,Universidade Federal do Acre,60,1.47%
22,BA,Universidade Estadual de Feira de Santana,58,1.42%
23,PR,Universidade Estadual do Oeste do Paraná,58,1.42%
24,RS,Universidade Federal de Pelotas,58,1.42%
25,PI,Universidade Federal do Piauí,55,1.35%
26,PR,Universidade Estadual do Paraná,54,1.32%
27,MT,Universidade do Estado de Mato Grosso,53,1.30%
28,RJ,Universidade Federal do Rio de Janeiro,51,1.25%
29,PI,Instituto Federal do Piauí,49,1.20%
30,MG,Universidade Federal de Lavras,49,1.20%
31,MS,Universidade Federal de Mato Grosso do Sul,46,1.13%
32,RO,Universidade Federal de Rondônia,46,1.13%
33,MT,Universidade Federal do Mato Grosso,45,1.10%
34,PR,Universidade Tecnológica Federal do Paraná,44,1.08%
35,SP,Universidade de São Paulo,41,1.01%
36,PR,Universidade Federal da Integração Latino-Americana,40,0.98%
37,RS,Instituto Federal do Rio Grande do Sul,39,0.96%
