,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,183,5.30%
1,RJ,Universidade do Estado do Rio de Janeiro,160,4.64%
2,SP,Universidade Estadual de Campinas,155,4.49%
3,DF,Universidade de Brasília,119,3.45%
4,RJ,Universidade Federal Fluminense,108,3.13%
5,MA,Universidade Federal do Maranhão,83,2.41%
6,BA,Universidade Estadual de Feira de Santana,81,2.35%
7,AM,Universidade Federal do Amazonas,70,2.03%
8,PR,Universidade Estadual de Londrina,66,1.91%
9,BA,Universidade Estadual de Santa Cruz,65,1.88%
10,BA,Universidade Federal do Sul da Bahia,63,1.83%
11,PE,Universidade Federal do Vale do São Francisco,61,1.77%
12,SP,Universidade Federal do ABC,59,1.71%
13,PR,Universidade Estadual de Ponta Grossa,58,1.68%
14,BA,Universidade do Estado da Bahia,57,1.65%
15,MS,Universidade Federal da Grande Dourados,55,1.59%
16,RJ,Universidade Federal do Rio de Janeiro,55,1.59%
17,RJ,Universidade Estadual do Norte Fluminense,54,1.56%
18,RS,Universidade Federal do Rio Grande do Sul,53,1.54%
19,AC,Universidade Federal do Acre,51,1.48%
20,CE,Universidade Estadual do Ceará,48,1.39%
21,PI,Universidade Federal do Piauí,48,1.39%
22,PR,Universidade Estadual do Oeste do Paraná,47,1.36%
23,PR,Universidade Estadual de Maringá,45,1.30%
24,RS,Universidade Federal de Pelotas,45,1.30%
25,MG,Universidade Federal de Lavras,44,1.27%
26,MS,Universidade Federal de Mato Grosso do Sul,44,1.27%
27,RS,Universidade Federal de Santa Maria,44,1.27%
28,PE,Universidade Federal Rural de Pernambuco,43,1.25%
29,MT,Universidade do Estado de Mato Grosso,42,1.22%
30,MG,Centro Federal de Educação Tecnológica de Minas Gerais,41,1.19%
31,BA,Universidade Estadual do Sudoeste da Bahia,41,1.19%
32,PR,Universidade Tecnológica Federal do Paraná,40,1.16%
33,SE,Universidade Federal de Sergipe,36,1.04%
34,PR,Universidade Estadual do Paraná,35,1.01%
35,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,34,0.99%
36,PA,Universidade do Estado do Pará,34,0.99%
37,PR,Universidade Federal da Integração Latino-Americana,33,0.96%
38,MG,Universidade Federal de Viçosa,33,0.96%
39,CE,Universidade Federal do Ceará,33,0.96%
40,SP,Universidade de São Paulo,32,0.93%
41,RO,Universidade Federal de Rondônia,32,0.93%
42,MT,Universidade Federal do Mato Grosso,32,0.93%
43,MG,Universidade Federal de Juiz de Fora,31,0.90%
44,MG,Universidade Federal de São João del-Rei,31,0.90%
45,PI,Instituto Federal do Piauí,29,0.84%
46,GO,Universidade Estadual de Goiás,28,0.81%
47,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,27,0.78%
48,RJ,Universidade Federal Rural do Rio de Janeiro,27,0.78%
49,GO,Universidade Federal de Goiás,26,0.75%
50,SP,Universidade Federal de São Paulo,26,0.75%
51,CE,Universidade Estadual do Vale do Acaraú,25,0.72%
52,AL,Universidade Federal de Alagoas,25,0.72%
53,MG,Universidade Federal de Uberlândia,25,0.72%
54,PA,Universidade Federal do Pará,25,0.72%
55,PB,Universidade Federal da Paraíba,23,0.67%
56,RS,Instituto Federal do Rio Grande do Sul,22,0.64%
57,MG,Universidade Federal de Ouro Preto,22,0.64%
58,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,21,0.61%
59,RJ,Universidade Federal do Estado do Rio de Janeiro,21,0.61%
60,SC,Universidade do Estado de Santa Catarina,20,0.58%
61,SP,Universidade Federal de São Carlos,20,0.58%
62,PR,Universidade Federal do Paraná,20,0.58%
63,AP,Universidade Federal do Amapá,19,0.55%
64,PB,Universidade Estadual da Paraíba,18,0.52%
65,MT,Universidade Federal de Rondonópolis,18,0.52%
66,PB,Universidade Federal de Campina Grande,17,0.49%
67,DF,Universidade do Distrito Federal,15,0.43%
68,PI,Universidade Estadual do Piauí,15,0.43%
69,PA,Universidade Federal do Oeste do Pará,15,0.43%
70,PA,Universidade Federal Rural da Amazônia,15,0.43%
71,CE,Universidade Regional do Cariri,14,0.41%
72,PE,Universidade de Pernambuco,13,0.38%
73,RS,Universidade Federal de Rio Grande,13,0.38%
74,PR,Universidade Estadual do Centro-Oeste,12,0.35%
75,PE,Universidade Federal de Pernambuco,12,0.35%
76,RR,Universidade Federal de Roraima,12,0.35%
77,MS,Universidade Estadual de Mato Grosso do Sul,11,0.32%
78,BA,Universidade Federal do Oeste da Bahia,11,0.32%
79,BA,Universidade Federal do Recôncavo da Bahia,11,0.32%
