,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,103,28.69%
1,SP,Universidade Estadual de Campinas,25,6.96%
2,MS,Universidade Estadual de Mato Grosso do Sul,11,3.06%
3,RJ,Universidade do Estado do Rio de Janeiro,10,2.79%
4,BA,Universidade do Estado da Bahia,8,2.23%
5,PB,Universidade Estadual da Paraíba,8,2.23%
6,AM,Universidade Federal do Amazonas,8,2.23%
7,MA,Universidade Federal do Maranhão,8,2.23%
8,MT,Universidade Federal do Mato Grosso,8,2.23%
9,RJ,Universidade Federal do Rio de Janeiro,8,2.23%
10,MT,Universidade do Estado de Mato Grosso,7,1.95%
11,AC,Universidade Federal do Acre,7,1.95%
12,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,1.67%
13,PR,Universidade Estadual de Londrina,6,1.67%
14,PR,Universidade Estadual de Maringá,6,1.67%
15,RS,Universidade Federal de Pelotas,6,1.67%
16,SE,Universidade Federal de Sergipe,6,1.67%
17,RJ,Universidade Federal Fluminense,6,1.67%
18,BA,Universidade Estadual de Feira de Santana,5,1.39%
19,RS,Universidade Federal do Rio Grande do Sul,5,1.39%
20,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,1.11%
21,SP,Universidade de São Paulo,4,1.11%
22,GO,Universidade Estadual de Goiás,4,1.11%
23,PB,Universidade Federal da Paraíba,4,1.11%
24,AL,Universidade Federal de Alagoas,4,1.11%
25,MG,Universidade Federal de Uberlândia,4,1.11%
26,MG,Universidade Federal de Viçosa,4,1.11%
27,PE,Universidade Federal Rural de Pernambuco,4,1.11%
28,MS,Universidade Federal de Mato Grosso do Sul,4,1.11%
29,CE,Universidade Estadual do Vale do Acaraú,4,1.11%
30,DF,Universidade de Brasília,3,0.84%
31,PR,Universidade Estadual do Oeste do Paraná,3,0.84%
32,RO,Universidade Federal de Rondônia,3,0.84%
33,PA,Universidade Federal do Pará,3,0.84%
34,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,2,0.56%
35,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,0.56%
36,AM,Universidade do Estado do Amazonas,2,0.56%
37,BA,Universidade Estadual de Santa Cruz,2,0.56%
38,BA,Universidade Estadual do Sudoeste da Bahia,2,0.56%
39,PR,Universidade Federal da Integração Latino-Americana,2,0.56%
40,PB,Universidade Federal de Campina Grande,2,0.56%
41,MG,Universidade Federal de Juiz de Fora,2,0.56%
42,MG,Universidade Federal de Ouro Preto,2,0.56%
43,RS,Universidade Federal de Rio Grande,2,0.56%
44,RR,Universidade Federal de Roraima,2,0.56%
45,RS,Universidade Federal de Santa Maria,2,0.56%
46,SP,Universidade Federal de São Carlos,2,0.56%
47,AP,Universidade Federal do Amapá,2,0.56%
48,CE,Universidade Federal do Ceará,2,0.56%
49,PR,Universidade Tecnológica Federal do Paraná,2,0.56%
50,MS,Universidade Federal da Grande Dourados,2,0.56%
51,ES,Faculdade de Música do Espírito Santo,1,0.28%
52,TO,Universidade de Guripi,1,0.28%
53,SC,Universidade do Estado de Santa Catarina,1,0.28%
54,CE,Universidade Estadual do Ceará,1,0.28%
55,PR,Universidade Estadual do Centro-Oeste,1,0.28%
56,RJ,Universidade Estadual do Norte Fluminense,1,0.28%
57,PR,Universidade Estadual do Paraná,1,0.28%
58,SP,Universidade Federal do ABC,1,0.28%
59,TO,Universidade Federal do Norte de Tocantins,1,0.28%
60,BA,Universidade Federal do Oeste da Bahia,1,0.28%
61,PA,Universidade Federal do Oeste do Pará,1,0.28%
62,PR,Universidade Federal do Paraná,1,0.28%
63,BA,Universidade Federal do Sul da Bahia,1,0.28%
64,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.28%
65,PI,Instituto Federal do Piauí,1,0.28%
66,RS,Instituto Federal do Rio Grande do Sul,1,0.28%
