,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,98,28.74%
1,SP,Universidade Estadual de Campinas,25,7.33%
2,MS,Universidade Estadual de Mato Grosso do Sul,11,3.23%
3,RJ,Universidade do Estado do Rio de Janeiro,9,2.64%
4,BA,Universidade do Estado da Bahia,8,2.35%
5,PB,Universidade Estadual da Paraíba,8,2.35%
6,AM,Universidade Federal do Amazonas,8,2.35%
7,MT,Universidade do Estado de Mato Grosso,7,2.05%
8,MA,Universidade Federal do Maranhão,7,2.05%
9,MT,Universidade Federal do Mato Grosso,7,2.05%
10,RJ,Universidade Federal do Rio de Janeiro,7,2.05%
11,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,1.76%
12,PR,Universidade Estadual de Londrina,6,1.76%
13,PR,Universidade Estadual de Maringá,6,1.76%
14,BA,Universidade Estadual de Feira de Santana,5,1.47%
15,RS,Universidade Federal de Pelotas,5,1.47%
16,SE,Universidade Federal de Sergipe,5,1.47%
17,RS,Universidade Federal do Rio Grande do Sul,5,1.47%
18,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,1.17%
19,SP,Universidade de São Paulo,4,1.17%
20,GO,Universidade Estadual de Goiás,4,1.17%
21,AL,Universidade Federal de Alagoas,4,1.17%
22,MG,Universidade Federal de Uberlândia,4,1.17%
23,MG,Universidade Federal de Viçosa,4,1.17%
24,AC,Universidade Federal do Acre,4,1.17%
25,RJ,Universidade Federal Fluminense,4,1.17%
26,PE,Universidade Federal Rural de Pernambuco,4,1.17%
27,MS,Universidade Federal de Mato Grosso do Sul,4,1.17%
28,CE,Universidade Estadual do Vale do Acaraú,4,1.17%
29,DF,Universidade de Brasília,3,0.88%
30,PR,Universidade Estadual do Oeste do Paraná,3,0.88%
31,PB,Universidade Federal da Paraíba,3,0.88%
32,RO,Universidade Federal de Rondônia,3,0.88%
33,PA,Universidade Federal do Pará,3,0.88%
34,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,0.59%
35,AM,Universidade do Estado do Amazonas,2,0.59%
36,BA,Universidade Estadual de Santa Cruz,2,0.59%
37,BA,Universidade Estadual do Sudoeste da Bahia,2,0.59%
38,PR,Universidade Federal da Integração Latino-Americana,2,0.59%
39,MG,Universidade Federal de Juiz de Fora,2,0.59%
40,MG,Universidade Federal de Ouro Preto,2,0.59%
41,RS,Universidade Federal de Rio Grande,2,0.59%
42,RR,Universidade Federal de Roraima,2,0.59%
43,RS,Universidade Federal de Santa Maria,2,0.59%
44,SP,Universidade Federal de São Carlos,2,0.59%
45,AP,Universidade Federal do Amapá,2,0.59%
46,CE,Universidade Federal do Ceará,2,0.59%
47,PR,Universidade Tecnológica Federal do Paraná,2,0.59%
48,MS,Universidade Federal da Grande Dourados,2,0.59%
49,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.29%
50,ES,Faculdade de Música do Espírito Santo,1,0.29%
51,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1,0.29%
52,TO,Universidade de Guripi,1,0.29%
53,SC,Universidade do Estado de Santa Catarina,1,0.29%
54,CE,Universidade Estadual do Ceará,1,0.29%
55,PR,Universidade Estadual do Centro-Oeste,1,0.29%
56,RJ,Universidade Estadual do Norte Fluminense,1,0.29%
57,PR,Universidade Estadual do Paraná,1,0.29%
58,PB,Universidade Federal de Campina Grande,1,0.29%
59,SP,Universidade Federal do ABC,1,0.29%
60,TO,Universidade Federal do Norte de Tocantins,1,0.29%
61,BA,Universidade Federal do Oeste da Bahia,1,0.29%
62,PA,Universidade Federal do Oeste do Pará,1,0.29%
63,PR,Universidade Federal do Paraná,1,0.29%
64,BA,Universidade Federal do Sul da Bahia,1,0.29%
65,PI,Instituto Federal do Piauí,1,0.29%
66,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.29%
67,RS,Instituto Federal do Rio Grande do Sul,1,0.29%
