,UF,Instituição de ensino,Contagem,Porcentagem
0,RJ,Universidade do Estado do Rio de Janeiro,59,4.99%
1,ES,Universidade Federal do Espírito Santo,59,4.99%
2,SP,Universidade Estadual de Campinas,53,4.48%
3,BA,Universidade do Estado da Bahia,35,2.96%
4,MA,Universidade Federal do Maranhão,34,2.88%
5,SP,Universidade Federal do ABC,30,2.54%
6,DF,Universidade de Brasília,28,2.37%
7,RJ,Universidade Federal Fluminense,27,2.28%
8,PR,Universidade Estadual de Londrina,26,2.20%
9,BA,Universidade Federal do Sul da Bahia,24,2.03%
10,MG,Centro Federal de Educação Tecnológica de Minas Gerais,23,1.95%
11,PI,Instituto Federal do Piauí,23,1.95%
12,AM,Universidade Federal do Amazonas,23,1.95%
13,PE,Universidade Federal do Vale do São Francisco,21,1.78%
14,PR,Universidade Estadual do Paraná,20,1.69%
15,RS,Universidade Federal de Pelotas,20,1.69%
16,PE,Universidade Federal Rural de Pernambuco,20,1.69%
17,MS,Universidade Federal da Grande Dourados,20,1.69%
18,RS,Instituto Federal do Rio Grande do Sul,18,1.52%
19,DF,Universidade do Distrito Federal,18,1.52%
20,BA,Universidade Estadual de Feira de Santana,18,1.52%
21,RO,Universidade Federal de Rondônia,18,1.52%
22,RS,Universidade Federal do Rio Grande do Sul,18,1.52%
23,MT,Universidade Federal do Mato Grosso,17,1.44%
24,PR,Universidade Estadual de Maringá,16,1.35%
25,BA,Universidade Estadual de Santa Cruz,16,1.35%
26,RJ,Universidade Federal do Rio de Janeiro,16,1.35%
27,MT,Universidade do Estado de Mato Grosso,15,1.27%
28,CE,Universidade Estadual do Ceará,15,1.27%
29,MG,Universidade Federal de Ouro Preto,15,1.27%
30,SP,Universidade de São Paulo,14,1.18%
31,PR,Universidade Estadual de Ponta Grossa,14,1.18%
32,AC,Universidade Federal do Acre,14,1.18%
33,PA,Universidade do Estado do Pará,13,1.10%
34,RJ,Universidade Estadual do Norte Fluminense,13,1.10%
35,PR,Universidade Estadual do Oeste do Paraná,13,1.10%
36,PI,Universidade Federal do Piauí,13,1.10%
37,RJ,Universidade Federal Rural do Rio de Janeiro,13,1.10%
38,MS,Universidade Federal de Mato Grosso do Sul,13,1.10%
39,MS,Universidade Estadual de Mato Grosso do Sul,12,1.02%
40,BA,Universidade Estadual do Sudoeste da Bahia,12,1.02%
41,PR,Universidade Federal da Integração Latino-Americana,12,1.02%
42,MG,Universidade Federal de Juiz de Fora,12,1.02%
43,PB,Universidade Federal de Campina Grande,11,0.93%
44,MG,Universidade Federal de São João del-Rei,11,0.93%
45,SE,Universidade Federal de Sergipe,11,0.93%
46,MG,Universidade Federal de Uberlândia,10,0.85%
47,PR,Universidade Federal do Paraná,10,0.85%
48,PA,Universidade Federal Rural da Amazônia,10,0.85%
49,SC,Universidade do Estado de Santa Catarina,9,0.76%
50,CE,Universidade Estadual do Vale do Acaraú,9,0.76%
51,RS,Universidade Federal de Santa Maria,9,0.76%
52,MG,Universidade Federal de Viçosa,9,0.76%
53,PR,Universidade Tecnológica Federal do Paraná,9,0.76%
54,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,8,0.68%
55,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,8,0.68%
56,PA,Universidade Federal do Pará,8,0.68%
57,GO,Universidade Estadual de Goiás,7,0.59%
58,AL,Universidade Federal de Alagoas,7,0.59%
59,MG,Universidade Federal de Lavras,7,0.59%
60,MT,Universidade Federal de Rondonópolis,7,0.59%
61,SP,Universidade Federal de São Paulo,6,0.51%
62,CE,Universidade Federal do Ceará,6,0.51%
63,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5,0.42%
64,PE,Universidade de Pernambuco,5,0.42%
65,PB,Universidade Estadual da Paraíba,5,0.42%
66,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,5,0.42%
67,CE,Universidade Regional do Cariri,5,0.42%
68,PR,Universidade Estadual do Norte do Paraná,4,0.34%
69,SC,Universidade Federal da Fronteira Sul,4,0.34%
70,MG,Universidade Federal de Minas Gerais,4,0.34%
71,SP,Universidade Federal de São Carlos,4,0.34%
72,MA,Universidade Estadual do Maranhão,3,0.25%
73,GO,Universidade Federal de Goiás,3,0.25%
