,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,67,26.91%
1,SP,Universidade Estadual de Campinas,18,7.23%
2,PB,Universidade Estadual da Paraíba,7,2.81%
3,MS,Universidade Estadual de Mato Grosso do Sul,7,2.81%
4,AM,Universidade Federal do Amazonas,7,2.81%
5,RJ,Universidade Federal do Rio de Janeiro,7,2.81%
6,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,2.41%
7,BA,Universidade do Estado da Bahia,6,2.41%
8,RJ,Universidade do Estado do Rio de Janeiro,6,2.41%
9,RS,Universidade Federal de Pelotas,6,2.41%
10,AC,Universidade Federal do Acre,6,2.41%
11,MT,Universidade Federal do Mato Grosso,6,2.41%
12,BA,Universidade Estadual de Feira de Santana,5,2.01%
13,SE,Universidade Federal de Sergipe,5,2.01%
14,SP,Universidade de São Paulo,4,1.61%
15,MT,Universidade do Estado de Mato Grosso,4,1.61%
16,PR,Universidade Estadual de Londrina,4,1.61%
17,PR,Universidade Estadual de Maringá,4,1.61%
18,MG,Universidade Federal de Uberlândia,4,1.61%
19,MA,Universidade Federal do Maranhão,4,1.61%
20,PE,Universidade Federal Rural de Pernambuco,4,1.61%
21,MS,Universidade Federal de Mato Grosso do Sul,4,1.61%
22,PB,Universidade Federal da Paraíba,3,1.20%
23,AL,Universidade Federal de Alagoas,3,1.20%
24,PA,Universidade Federal do Pará,3,1.20%
25,CE,Universidade Estadual do Vale do Acaraú,3,1.20%
26,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,0.80%
27,GO,Universidade Estadual de Goiás,2,0.80%
28,BA,Universidade Estadual de Santa Cruz,2,0.80%
29,PR,Universidade Estadual do Oeste do Paraná,2,0.80%
30,BA,Universidade Estadual do Sudoeste da Bahia,2,0.80%
31,PR,Universidade Federal da Integração Latino-Americana,2,0.80%
32,PB,Universidade Federal de Campina Grande,2,0.80%
33,MG,Universidade Federal de Ouro Preto,2,0.80%
34,RS,Universidade Federal de Rio Grande,2,0.80%
35,RO,Universidade Federal de Rondônia,2,0.80%
36,AP,Universidade Federal do Amapá,2,0.80%
37,RS,Universidade Federal do Rio Grande do Sul,2,0.80%
38,RJ,Universidade Federal Fluminense,2,0.80%
39,PR,Universidade Tecnológica Federal do Paraná,2,0.80%
40,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.40%
41,TO,Universidade de Guripi,1,0.40%
42,SC,Universidade do Estado de Santa Catarina,1,0.40%
43,AM,Universidade do Estado do Amazonas,1,0.40%
44,CE,Universidade Estadual do Ceará,1,0.40%
45,PR,Universidade Estadual do Centro-Oeste,1,0.40%
46,RJ,Universidade Estadual do Norte Fluminense,1,0.40%
47,PR,Universidade Estadual do Paraná,1,0.40%
48,RR,Universidade Federal de Roraima,1,0.40%
49,RS,Universidade Federal de Santa Maria,1,0.40%
50,SP,Universidade Federal de São Carlos,1,0.40%
51,MG,Universidade Federal de Viçosa,1,0.40%
52,CE,Universidade Federal do Ceará,1,0.40%
53,TO,Universidade Federal do Norte de Tocantins,1,0.40%
54,PA,Universidade Federal do Oeste do Pará,1,0.40%
55,PI,Instituto Federal do Piauí,1,0.40%
56,MS,Universidade Federal da Grande Dourados,1,0.40%
57,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.40%
