,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,239,5.40%
1,SP,Universidade Estadual de Campinas,224,5.07%
2,RJ,Universidade do Estado do Rio de Janeiro,216,4.88%
3,DF,Universidade de Brasília,134,3.03%
4,MA,Universidade Federal do Maranhão,115,2.60%
5,RJ,Universidade Federal Fluminense,112,2.53%
6,AM,Universidade Federal do Amazonas,94,2.13%
7,PR,Universidade Estadual de Londrina,93,2.10%
8,BA,Universidade do Estado da Bahia,92,2.08%
9,SP,Universidade Federal do ABC,89,2.01%
10,BA,Universidade Federal do Sul da Bahia,87,1.97%
11,BA,Universidade Estadual de Feira de Santana,86,1.94%
12,BA,Universidade Estadual de Santa Cruz,84,1.90%
13,PE,Universidade Federal do Vale do São Francisco,82,1.85%
14,MS,Universidade Federal da Grande Dourados,72,1.63%
15,RS,Universidade Federal do Rio Grande do Sul,72,1.63%
16,RJ,Universidade Federal do Rio de Janeiro,69,1.56%
17,PR,Universidade Estadual de Ponta Grossa,67,1.52%
18,RJ,Universidade Estadual do Norte Fluminense,67,1.52%
19,AC,Universidade Federal do Acre,65,1.47%
20,MG,Centro Federal de Educação Tecnológica de Minas Gerais,64,1.45%
21,CE,Universidade Estadual do Ceará,63,1.42%
22,PE,Universidade Federal Rural de Pernambuco,63,1.42%
23,PR,Universidade Estadual de Maringá,61,1.38%
24,RS,Universidade Federal de Pelotas,60,1.36%
25,PR,Universidade Estadual do Oeste do Paraná,58,1.31%
26,PI,Universidade Federal do Piauí,58,1.31%
27,RS,Universidade Federal de Santa Maria,56,1.27%
28,PI,Instituto Federal do Piauí,55,1.24%
29,PR,Universidade Estadual do Paraná,54,1.22%
30,MT,Universidade do Estado de Mato Grosso,53,1.20%
31,MG,Universidade Federal de Lavras,49,1.11%
32,MS,Universidade Federal de Mato Grosso do Sul,49,1.11%
33,RO,Universidade Federal de Rondônia,46,1.04%
34,MT,Universidade Federal do Mato Grosso,46,1.04%
35,PR,Universidade Tecnológica Federal do Paraná,46,1.04%
36,SP,Universidade de São Paulo,44,1.00%
37,BA,Universidade Estadual do Sudoeste da Bahia,43,0.97%
38,RS,Instituto Federal do Rio Grande do Sul,42,0.95%
39,MG,Universidade Federal de Viçosa,42,0.95%
