,UF,Instituição de ensino,Contagem,Porcentagem
66,SP,Universidade Federal de São Carlos,11,0.45%
67,RR,Universidade Federal de Roraima,10,0.41%
68,MS,Universidade Estadual de Mato Grosso do Sul,9,0.37%
69,PR,Universidade Estadual do Norte do Paraná,9,0.37%
70,PB,Universidade Federal da Paraíba,9,0.37%
71,RS,Universidade Federal de Rio Grande,9,0.37%
72,AM,Universidade do Estado do Amazonas,8,0.33%
73,BA,Universidade Federal da Bahia,8,0.33%
74,BA,Universidade Federal do Oeste da Bahia,8,0.33%
75,PA,Universidade Federal do Pará,8,0.33%
76,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8,0.33%
77,BA,Universidade Federal do Recôncavo da Bahia,7,0.29%
78,RR,Universidade Estadual de Roraima,5,0.20%
79,PR,Universidade Estadual do Centro-Oeste,5,0.20%
80,SC,Universidade Federal da Fronteira Sul,5,0.20%
81,PE,Universidade Federal de Pernambuco,5,0.20%
82,SP,Universidade Federal de São Paulo,5,0.20%
83,RN,Universidade Federal do Rio Grande do Norte,5,0.20%
84,RJ,Universidade Federal do Estado do Rio de Janeiro,4,0.16%
85,MG,Universidade do Estado de Minas Gerais,3,0.12%
86,GO,Universidade Federal de Catalão,3,0.12%
87,PR,Instituto Federal do Paraná,3,0.12%
88,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2,0.08%
89,TO,Universidade de Guripi,2,0.08%
90,PB,Universidade Federal de Campina Grande,2,0.08%
91,PI,Universidade Federal do Delta do Parnaíba,2,0.08%
92,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.08%
93,TO,Universidade federal do Tocantins,2,0.08%
94,PE,Universidade Federal do Agreste de Pernambuco,2,0.08%
95,GO,Instituto Federal de Goiás,2,0.08%
96,SP,Faculdade de Medicina de Jundiaí,1,0.04%
97,ES,Faculdade de Música do Espírito Santo,1,0.04%
98,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1,0.04%
99,MG,Instituto Federal do Sudeste Mineiro,1,0.04%
100,SP,rede municipal de Diadema,1,0.04%
101,RJ,Secretaria de Educação do Rio de Janeiro,1,0.04%
102,SP,Universidade Nove de Julho,1,0.04%
103,RS,Universidade de Santa Cruz do sul,1,0.04%
104,MA,Universidade estadual da região Tocantina do Maranhão,1,0.04%
105,MG,Universidade Estadual de Montes Claros,1,0.04%
106,MA,Universidade Estadual do Maranhão,1,0.04%
107,MS,Universidade Federal da Grande Dourados,1,0.04%
108,MG,Universidade Federal de Itajubá,1,0.04%
109,SC,Universidade Federal de Santa Catarina,1,0.04%
110,TO,Universidade Federal do Norte de Tocantins,1,0.04%
111,RS,Universidade Federal do Pampa,1,0.04%
112,RN,Universidade Federal Rural do Semi-Árido,1,0.04%
113,MG,Universidade Federal do Triângulo Mineiro,1,0.04%
114,MG,Instituto Federal de Minas Gerais,1,0.04%
115,PA,Instituto Federal do Pará,1,0.04%
116,CE,Instituto Federal do Ceará,1,0.04%
117,RJ,Instituto Federal Fluminense,1,0.04%
118,RO,Instituto Federal de Rondônia,1,0.04%
