,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,151,6.18%
1,SP,Universidade Estadual de Campinas,121,4.95%
2,MA,Universidade Federal do Maranhão,69,2.83%
3,RJ,Universidade do Estado do Rio de Janeiro,67,2.74%
4,PR,Universidade Estadual de Londrina,64,2.62%
5,PE,Universidade Federal do Vale do São Francisco,61,2.50%
6,SP,Universidade Federal do ABC,59,2.42%
7,AM,Universidade Federal do Amazonas,58,2.38%
8,BA,Universidade do Estado da Bahia,55,2.25%
9,DF,Universidade de Brasília,53,2.17%
10,BA,Universidade Estadual de Santa Cruz,53,2.17%
11,RJ,Universidade Estadual do Norte Fluminense,47,1.92%
12,CE,Universidade Estadual do Ceará,46,1.88%
13,RS,Universidade federal do Rio Grande do Sul,46,1.88%
14,BA,Universidade Federal do Sul da Bahia,46,1.88%
15,PR,Universidade Estadual do Oeste do Paraná,45,1.84%
16,MG,Universidade Federal de Lavras,41,1.68%
17,MG,Centro Federal de Educação Tecnológica de Minas Gerais,40,1.64%
18,BA,Universidade Estadual de Feira de Santana,40,1.64%
19,PE,Universidade Federal Rural de Pernambuco,40,1.64%
20,AC,Universidade Federal do Acre,38,1.56%
21,MT,Universidade do Estado de Mato Grosso,37,1.52%
22,RS,Universidade Federal de Pelotas,37,1.52%
23,PR,Universidade Estadual de Maringá,36,1.47%
24,RJ,Universidade Federal do Rio de Janeiro,35,1.43%
25,PR,Universidade Tecnológica Federal do Paraná,34,1.39%
26,PR,Universidade Estadual do Paraná,33,1.35%
27,MS,Universidade Federal da Grande Dourados,31,1.27%
28,PI,Universidade Federal do Piauí,31,1.27%
29,MS,Universidade Federal de Mato Grosso do Sul,30,1.23%
30,MG,Universidade Federal de Viçosa,29,1.19%
31,PR,Universidade Federal da Integração Latino-Americana,28,1.15%
32,RO,Universidade Federal de Rondônia,28,1.15%
33,MG,Universidade Federal de São João del-Rei,28,1.15%
34,RS,Universidade Federal de Santa Maria,27,1.11%
35,MT,Universidade Federal do Mato Grosso,27,1.11%
36,PA,Universidade do Estado do Pará,26,1.06%
37,PI,Instituto Federal do Piauí,24,0.98%
38,AL,Universidade Federal de Alagoas,24,0.98%
39,RJ,Universidade Federal Rural do Rio de Janeiro,24,0.98%
40,CE,Universidade Estadual do Vale do Acaraú,24,0.98%
41,SP,Universidade de São Paulo,23,0.94%
42,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,22,0.90%
43,BA,Universidade Estadual do Sudoeste da Bahia,22,0.90%
44,CE,Universidade Federal do Ceará,22,0.90%
45,RS,Instituto Federal do Rio Grande do Sul,21,0.86%
46,PR,Universidade Estadual de Ponta Grossa,21,0.86%
47,MG,Universidade Federal de Juiz de Fora,21,0.86%
48,MG,Universidade Federal de Uberlândia,21,0.86%
49,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,0.82%
50,SC,Universidade do Estado de Santa Catarina,20,0.82%
51,PR,Universidade Federal do Paraná,19,0.78%
52,MT,Universidade Federal de Rondonópolis,17,0.70%
53,GO,Universidade Estadual de Goiás,17,0.70%
54,SE,Universidade Federal de Sergipe,17,0.70%
55,PB,Universidade Estadual da Paraíba,16,0.66%
56,PA,Universidade Federal Rural da Amazônia,15,0.61%
57,PA,Universidade Federal do Oeste do Pará,14,0.57%
58,CE,Universidade Regional do Cariri,14,0.57%
59,PE,Universidade de Pernambuco,13,0.53%
60,GO,Universidade Federal de Goiás,12,0.49%
61,RJ,Universidade Federal Fluminense,12,0.49%
62,DF,Universidade do Distrito Federal,11,0.45%
63,PI,Universidade Estadual do Piauí,11,0.45%
64,MG,Universidade Federal de Ouro Preto,11,0.45%
65,AP,Universidade Federal do Amapá,11,0.45%
