,UF,Instituição de ensino,Contagem,Porcentagem
0,SP,Universidade Estadual de Campinas,69,5.42%
1,RJ,Universidade do Estado do Rio de Janeiro,61,4.79%
2,ES,Universidade Federal do Espírito Santo,59,4.63%
3,BA,Universidade do Estado da Bahia,35,2.75%
4,MA,Universidade Federal do Maranhão,35,2.75%
5,DF,Universidade de Brasília,32,2.51%
6,SP,Universidade Federal do ABC,30,2.36%
7,RJ,Universidade Federal Fluminense,29,2.28%
8,PI,Instituto Federal do Piauí,28,2.20%
9,PR,Universidade Estadual de Londrina,27,2.12%
10,BA,Universidade Estadual de Feira de Santana,26,2.04%
11,AM,Universidade Federal do Amazonas,24,1.89%
12,BA,Universidade Federal do Sul da Bahia,24,1.89%
13,MG,Centro Federal de Educação Tecnológica de Minas Gerais,23,1.81%
14,PE,Universidade Federal do Vale do São Francisco,21,1.65%
15,RS,Instituto Federal do Rio Grande do Sul,20,1.57%
16,PR,Universidade Estadual do Paraná,20,1.57%
17,RS,Universidade Federal de Pelotas,20,1.57%
18,RS,Universidade Federal do Rio Grande do Sul,20,1.57%
19,PE,Universidade Federal Rural de Pernambuco,20,1.57%
20,MS,Universidade Federal da Grande Dourados,20,1.57%
21,BA,Universidade Estadual de Santa Cruz,19,1.49%
22,RJ,Universidade Federal do Rio de Janeiro,19,1.49%
23,DF,Universidade do Distrito Federal,18,1.41%
24,RO,Universidade Federal de Rondônia,18,1.41%
25,MT,Universidade Federal do Mato Grosso,17,1.34%
26,PR,Universidade Estadual de Maringá,16,1.26%
27,AC,Universidade Federal do Acre,16,1.26%
28,SP,Universidade de São Paulo,15,1.18%
29,MT,Universidade do Estado de Mato Grosso,15,1.18%
30,CE,Universidade Estadual do Ceará,15,1.18%
31,MG,Universidade Federal de Ouro Preto,15,1.18%
32,MS,Universidade Federal de Mato Grosso do Sul,15,1.18%
33,PR,Universidade Estadual de Ponta Grossa,14,1.10%
34,BA,Universidade Estadual do Sudoeste da Bahia,14,1.10%
35,RS,Universidade Federal de Santa Maria,14,1.10%
36,PA,Universidade do Estado do Pará,13,1.02%
37,RJ,Universidade Estadual do Norte Fluminense,13,1.02%
38,PR,Universidade Estadual do Oeste do Paraná,13,1.02%
39,PI,Universidade Federal do Piauí,13,1.02%
40,RJ,Universidade Federal Rural do Rio de Janeiro,13,1.02%
41,MS,Universidade Estadual de Mato Grosso do Sul,12,0.94%
42,PR,Universidade Federal da Integração Latino-Americana,12,0.94%
43,PB,Universidade Federal de Campina Grande,12,0.94%
44,MG,Universidade Federal de Juiz de Fora,12,0.94%
45,SE,Universidade Federal de Sergipe,12,0.94%
46,PA,Universidade Federal do Pará,12,0.94%
47,PR,Universidade Federal do Paraná,12,0.94%
48,MG,Universidade Federal de São João del-Rei,11,0.86%
49,MG,Universidade Federal de Uberlândia,11,0.86%
50,MG,Universidade Federal de Viçosa,11,0.86%
51,PA,Universidade Federal Rural da Amazônia,10,0.79%
52,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,9,0.71%
53,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,9,0.71%
54,SC,Universidade do Estado de Santa Catarina,9,0.71%
55,GO,Universidade Estadual de Goiás,9,0.71%
56,CE,Universidade Estadual do Vale do Acaraú,9,0.71%
57,PR,Universidade Tecnológica Federal do Paraná,9,0.71%
58,AL,Universidade Federal de Alagoas,7,0.55%
