,UF,Instituição de ensino,Contagem,Porcentagem
0,RJ,Universidade do Estado do Rio de Janeiro,59,4.83%
1,SP,Universidade Estadual de Campinas,59,4.83%
2,ES,Universidade Federal do Espírito Santo,59,4.83%
3,BA,Universidade do Estado da Bahia,35,2.87%
4,MA,Universidade Federal do Maranhão,34,2.78%
5,SP,Universidade Federal do ABC,30,2.46%
6,DF,Universidade de Brasília,29,2.38%
7,RJ,Universidade Federal Fluminense,28,2.29%
8,PR,Universidade Estadual de Londrina,26,2.13%
9,PI,Instituto Federal do Piauí,24,1.97%
10,AM,Universidade Federal do Amazonas,24,1.97%
11,BA,Universidade Federal do Sul da Bahia,24,1.97%
12,MG,Centro Federal de Educação Tecnológica de Minas Gerais,23,1.88%
13,PE,Universidade Federal do Vale do São Francisco,21,1.72%
14,PR,Universidade Estadual do Paraná,20,1.64%
15,RS,Universidade Federal de Pelotas,20,1.64%
16,PE,Universidade Federal Rural de Pernambuco,20,1.64%
17,MS,Universidade Federal da Grande Dourados,20,1.64%
18,RJ,Universidade Federal do Rio de Janeiro,19,1.56%
19,RS,Universidade Federal do Rio Grande do Sul,19,1.56%
20,RS,Instituto Federal do Rio Grande do Sul,18,1.47%
21,DF,Universidade do Distrito Federal,18,1.47%
22,BA,Universidade Estadual de Feira de Santana,18,1.47%
23,RO,Universidade Federal de Rondônia,18,1.47%
24,BA,Universidade Estadual de Santa Cruz,17,1.39%
25,MT,Universidade Federal do Mato Grosso,17,1.39%
26,PR,Universidade Estadual de Maringá,16,1.31%
27,MT,Universidade do Estado de Mato Grosso,15,1.23%
28,CE,Universidade Estadual do Ceará,15,1.23%
29,MG,Universidade Federal de Ouro Preto,15,1.23%
30,SP,Universidade de São Paulo,14,1.15%
31,PR,Universidade Estadual de Ponta Grossa,14,1.15%
32,RS,Universidade Federal de Santa Maria,14,1.15%
33,AC,Universidade Federal do Acre,14,1.15%
34,MS,Universidade Federal de Mato Grosso do Sul,14,1.15%
35,PA,Universidade do Estado do Pará,13,1.06%
36,RJ,Universidade Estadual do Norte Fluminense,13,1.06%
37,PR,Universidade Estadual do Oeste do Paraná,13,1.06%
38,BA,Universidade Estadual do Sudoeste da Bahia,13,1.06%
39,PI,Universidade Federal do Piauí,13,1.06%
40,RJ,Universidade Federal Rural do Rio de Janeiro,13,1.06%
41,MS,Universidade Estadual de Mato Grosso do Sul,12,0.98%
42,PR,Universidade Federal da Integração Latino-Americana,12,0.98%
43,MG,Universidade Federal de Juiz de Fora,12,0.98%
44,PA,Universidade Federal do Pará,12,0.98%
45,PR,Universidade Federal do Paraná,12,0.98%
46,PB,Universidade Federal de Campina Grande,11,0.90%
47,MG,Universidade Federal de São João del-Rei,11,0.90%
48,SE,Universidade Federal de Sergipe,11,0.90%
49,MG,Universidade Federal de Uberlândia,11,0.90%
50,PA,Universidade Federal Rural da Amazônia,10,0.82%
51,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,9,0.74%
52,SC,Universidade do Estado de Santa Catarina,9,0.74%
53,CE,Universidade Estadual do Vale do Acaraú,9,0.74%
54,MG,Universidade Federal de Viçosa,9,0.74%
55,PR,Universidade Tecnológica Federal do Paraná,9,0.74%
56,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,8,0.66%
57,GO,Universidade Estadual de Goiás,7,0.57%
58,AL,Universidade Federal de Alagoas,7,0.57%
59,MG,Universidade Federal de Lavras,7,0.57%
60,MT,Universidade Federal de Rondonópolis,7,0.57%
61,CE,Universidade Federal do Ceará,7,0.57%
62,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,6,0.49%
63,SP,Universidade Federal de São Paulo,6,0.49%
64,PE,Universidade de Pernambuco,5,0.41%
65,PB,Universidade Estadual da Paraíba,5,0.41%
66,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,5,0.41%
67,CE,Universidade Regional do Cariri,5,0.41%
68,PR,Universidade Estadual do Norte do Paraná,4,0.33%
69,SC,Universidade Federal da Fronteira Sul,4,0.33%
70,MG,Universidade Federal de Minas Gerais,4,0.33%
71,SP,Universidade Federal de São Carlos,4,0.33%
72,BA,Universidade Federal do Recôncavo da Bahia,4,0.33%
73,PR,Universidade Estadual do Centro-Oeste,3,0.25%
74,MA,Universidade Estadual do Maranhão,3,0.25%
75,GO,Universidade Federal de Goiás,3,0.25%
76,PE,Universidade Federal de Pernambuco,3,0.25%
77,RJ,Universidade Federal do Estado do Rio de Janeiro,3,0.25%
78,RN,Universidade Federal Rural do Semi-Árido,3,0.25%
79,TO,Universidade de Guripi,2,0.16%
80,MG,Universidade do Estado de Minas Gerais,2,0.16%
81,AP,Universidade Estado do Amapá,2,0.16%
