,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,168,5.81%
1,RJ,Universidade do Estado do Rio de Janeiro,149,5.15%
2,SP,Universidade Estadual de Campinas,127,4.39%
3,DF,Universidade de Brasília,86,2.97%
4,MA,Universidade Federal do Maranhão,79,2.73%
5,RJ,Universidade Federal Fluminense,77,2.66%
6,PR,Universidade Estadual de Londrina,66,2.28%
7,AM,Universidade Federal do Amazonas,65,2.25%
8,PE,Universidade Federal do Vale do São Francisco,61,2.11%
9,BA,Universidade Federal do Sul da Bahia,60,2.07%
10,SP,Universidade Federal do ABC,59,2.04%
11,BA,Universidade do Estado da Bahia,56,1.94%
12,RJ,Universidade Estadual do Norte Fluminense,54,1.87%
13,PR,Universidade Estadual de Ponta Grossa,53,1.83%
14,BA,Universidade Estadual de Santa Cruz,53,1.83%
15,RS,Universidade Federal do Rio Grande do Sul,51,1.76%
16,MS,Universidade Federal da Grande Dourados,50,1.73%
17,CE,Universidade Estadual do Ceará,48,1.66%
18,AC,Universidade Federal do Acre,46,1.59%
19,PR,Universidade Estadual do Oeste do Paraná,45,1.55%
20,PR,Universidade Estadual de Maringá,44,1.52%
21,MG,Universidade Federal de Lavras,42,1.45%
22,PI,Universidade Federal do Piauí,42,1.45%
23,PE,Universidade Federal Rural de Pernambuco,41,1.42%
24,MG,Centro Federal de Educação Tecnológica de Minas Gerais,40,1.38%
25,BA,Universidade Estadual de Feira de Santana,40,1.38%
26,MT,Universidade do Estado de Mato Grosso,38,1.31%
27,RS,Universidade Federal de Pelotas,38,1.31%
28,RJ,Universidade Federal do Rio de Janeiro,35,1.21%
29,PR,Universidade Tecnológica Federal do Paraná,35,1.21%
30,PR,Universidade Estadual do Paraná,34,1.17%
31,MS,Universidade Federal de Mato Grosso do Sul,34,1.17%
32,MG,Universidade Federal de Viçosa,29,1.00%
33,PR,Universidade Federal da Integração Latino-Americana,28,0.97%
34,RO,Universidade Federal de Rondônia,28,0.97%
35,RS,Universidade Federal de Santa Maria,28,0.97%
36,MT,Universidade Federal do Mato Grosso,28,0.97%
37,MG,Universidade Federal de São João del-Rei,28,0.97%
38,SP,Universidade de São Paulo,27,0.93%
39,PI,Instituto Federal do Piauí,26,0.90%
40,PA,Universidade do Estado do Pará,26,0.90%
41,CE,Universidade Estadual do Vale do Acaraú,25,0.86%
42,GO,Universidade Federal de Goiás,25,0.86%
43,MG,Universidade Federal de Juiz de Fora,25,0.86%
44,SE,Universidade Federal de Sergipe,25,0.86%
45,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,25,0.86%
46,AL,Universidade Federal de Alagoas,24,0.83%
47,RJ,Universidade Federal Rural do Rio de Janeiro,24,0.83%
48,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,23,0.79%
49,MG,Universidade Federal de Uberlândia,23,0.79%
50,BA,Universidade Estadual do Sudoeste da Bahia,22,0.76%
51,CE,Universidade Federal do Ceará,22,0.76%
52,RS,Instituto Federal do Rio Grande do Sul,21,0.73%
53,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,0.69%
54,SC,Universidade do Estado de Santa Catarina,20,0.69%
55,PR,Universidade Federal do Paraná,19,0.66%
56,GO,Universidade Estadual de Goiás,17,0.59%
57,MT,Universidade Federal de Rondonópolis,17,0.59%
58,PB,Universidade Estadual da Paraíba,16,0.55%
59,DF,Universidade do Distrito Federal,15,0.52%
60,MG,Universidade Federal de Ouro Preto,15,0.52%
61,PA,Universidade Federal do Oeste do Pará,15,0.52%
62,PA,Universidade Federal Rural da Amazônia,15,0.52%
63,SP,Universidade Federal de São Carlos,15,0.52%
64,PB,Universidade Federal de Campina Grande,14,0.48%
65,PA,Universidade Federal do Pará,14,0.48%
66,CE,Universidade Regional do Cariri,14,0.48%
67,PE,Universidade de Pernambuco,13,0.45%
68,PI,Universidade Estadual do Piauí,12,0.41%
69,AP,Universidade Federal do Amapá,11,0.38%
70,PR,Universidade Estadual do Norte do Paraná,10,0.35%
71,RS,Universidade Federal de Rio Grande,10,0.35%
72,RR,Universidade Federal de Roraima,10,0.35%
73,MS,Universidade Estadual de Mato Grosso do Sul,9,0.31%
74,PR,Universidade Estadual do Centro-Oeste,9,0.31%
75,PB,Universidade Federal da Paraíba,9,0.31%
76,BA,Universidade Federal do Oeste da Bahia,9,0.31%
77,AM,Universidade do Estado do Amazonas,8,0.28%
78,SP,Universidade Estadual Paulista,8,0.28%
79,BA,Universidade Federal da Bahia,8,0.28%
80,BA,Universidade Federal do Recôncavo da Bahia,7,0.24%
81,RR,Universidade Estadual de Roraima,5,0.17%
82,SC,Universidade Federal da Fronteira Sul,5,0.17%
83,PE,Universidade Federal de Pernambuco,5,0.17%
84,SP,Universidade Federal de São Paulo,5,0.17%
85,RJ,Universidade Federal do Estado do Rio de Janeiro,5,0.17%
86,RN,Universidade Federal do Rio Grande do Norte,5,0.17%
87,GO,Universidade Federal de Catalão,4,0.14%
88,PR,Instituto Federal do Paraná,3,0.10%
89,SP,Secretaria Municipal de Educação de São Paulo,3,0.10%
90,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,3,0.10%
91,MG,Universidade do Estado de Minas Gerais,3,0.10%
92,PI,Universidade Federal do Delta do Parnaíba,3,0.10%
93,TO,Universidade Federal do Tocantins,3,0.10%
94,GO,Instituto Federal de Goiás,2,0.07%
95,TO,Universidade de Guripi,2,0.07%
96,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.07%
97,MG,Universidade Federal do Triângulo Mineiro,2,0.07%
98,PE,Universidade Federal do Agreste de Pernambuco,2,0.07%
99,ES,Associação Brasileira de Odontologia,1,0.03%
100,SP,Faculdade de Medicina de Jundiaí,1,0.03%
101,ES,Faculdade de Música do Espírito Santo,1,0.03%
102,SP,Faculdade de Tecnologia Sebrae,1,0.03%
103,AL,Instituto Federal de Alagoas,1,0.03%
104,RO,Instituto Federal de Rondônia,1,0.03%
105,RR,Instituto Federal de Roraima,1,0.03%
106,CE,Instituto Federal do Ceará,1,0.03%
107,MA,Instituto Federal do Maranhão,1,0.03%
108,MG,Instituto Federal do Sudeste Mineiro,1,0.03%
109,RJ,Instituto Federal Fluminense,1,0.03%
110,PA,Instituto Federal do Pará,1,0.03%
111,SP,Secretaria da Educação de Diadema,1,0.03%
112,RJ,Secretaria de Educação do Rio de Janeiro,1,0.03%
113,BA,Secretaria Municipal de Educação da Bahia,1,0.03%
114,RS,Universidade de Santa Cruz do Sul,1,0.03%
115,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.03%
116,MG,Universidade Estadual de Montes Claros,1,0.03%
117,MA,Universidade Estadual do Maranhão,1,0.03%
118,MG,Universidade Federal de Itajubá,1,0.03%
119,SC,Universidade Federal de Santa Catarina,1,0.03%
120,TO,Universidade Federal do Norte de Tocantins,1,0.03%
121,RS,Universidade Federal do Pampa,1,0.03%
122,MG,Instituto Federal de Minas Gerais,1,0.03%
123,RN,Universidade Federal Rural do Semi-Árido,1,0.03%
