,UF,Instituição de ensino,Contagem,Porcentagem
0,SP,Universidade Estadual de Campinas,66,5.30%
1,RJ,Universidade do Estado do Rio de Janeiro,59,4.74%
2,ES,Universidade Federal do Espírito Santo,59,4.74%
3,BA,Universidade do Estado da Bahia,35,2.81%
4,MA,Universidade Federal do Maranhão,34,2.73%
5,SP,Universidade Federal do ABC,30,2.41%
6,DF,Universidade de Brasília,29,2.33%
7,RJ,Universidade Federal Fluminense,29,2.33%
8,BA,Universidade Estadual de Feira de Santana,26,2.09%
9,PR,Universidade Estadual de Londrina,26,2.09%
10,PI,Instituto Federal do Piauí,24,1.93%
11,AM,Universidade Federal do Amazonas,24,1.93%
12,BA,Universidade Federal do Sul da Bahia,24,1.93%
13,MG,Centro Federal de Educação Tecnológica de Minas Gerais,23,1.85%
14,PE,Universidade Federal do Vale do São Francisco,21,1.69%
15,PR,Universidade Estadual do Paraná,20,1.61%
16,MS,Universidade Federal da Grande Dourados,20,1.61%
17,RS,Universidade Federal de Pelotas,20,1.61%
18,PE,Universidade Federal Rural de Pernambuco,20,1.61%
19,RJ,Universidade Federal do Rio de Janeiro,19,1.53%
20,RS,Universidade Federal do Rio Grande do Sul,19,1.53%
21,RS,Instituto Federal do Rio Grande do Sul,18,1.45%
22,DF,Universidade do Distrito Federal,18,1.45%
23,BA,Universidade Estadual de Santa Cruz,18,1.45%
24,RO,Universidade Federal de Rondônia,18,1.45%
25,MT,Universidade Federal do Mato Grosso,17,1.37%
26,PR,Universidade Estadual de Maringá,16,1.29%
27,SP,Universidade de São Paulo,15,1.20%
28,MT,Universidade do Estado de Mato Grosso,15,1.20%
29,CE,Universidade Estadual do Ceará,15,1.20%
30,MG,Universidade Federal de Ouro Preto,15,1.20%
31,AC,Universidade Federal do Acre,15,1.20%
32,PR,Universidade Estadual de Ponta Grossa,14,1.12%
33,RS,Universidade Federal de Santa Maria,14,1.12%
34,MS,Universidade Federal de Mato Grosso do Sul,14,1.12%
35,PA,Universidade do Estado do Pará,13,1.04%
36,RJ,Universidade Estadual do Norte Fluminense,13,1.04%
37,PR,Universidade Estadual do Oeste do Paraná,13,1.04%
38,BA,Universidade Estadual do Sudoeste da Bahia,13,1.04%
39,PI,Universidade Federal do Piauí,13,1.04%
40,RJ,Universidade Federal Rural do Rio de Janeiro,13,1.04%
41,MS,Universidade Estadual de Mato Grosso do Sul,12,0.96%
