,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,232,5.46%
1,RJ,Universidade do Estado do Rio de Janeiro,209,4.92%
2,SP,Universidade Estadual de Campinas,198,4.66%
3,DF,Universidade de Brasília,116,2.73%
4,MA,Universidade Federal do Maranhão,114,2.68%
5,RJ,Universidade Federal Fluminense,107,2.52%
6,AM,Universidade Federal do Amazonas,93,2.19%
7,BA,Universidade do Estado da Bahia,92,2.17%
8,PR,Universidade Estadual de Londrina,92,2.17%
9,SP,Universidade Federal do ABC,89,2.10%
10,BA,Universidade Federal do Sul da Bahia,84,1.98%
11,PE,Universidade Federal do Vale do São Francisco,82,1.93%
12,BA,Universidade Estadual de Santa Cruz,81,1.91%
13,MS,Universidade Federal da Grande Dourados,71,1.67%
14,RS,Universidade Federal do Rio Grande do Sul,70,1.65%
15,PR,Universidade Estadual de Ponta Grossa,67,1.58%
16,RJ,Universidade Estadual do Norte Fluminense,67,1.58%
17,RJ,Universidade Federal do Rio de Janeiro,67,1.58%
18,MG,Centro Federal de Educação Tecnológica de Minas Gerais,63,1.48%
19,CE,Universidade Estadual do Ceará,63,1.48%
20,PR,Universidade Estadual de Maringá,61,1.44%
21,PE,Universidade Federal Rural de Pernambuco,61,1.44%
22,RS,Universidade Federal de Pelotas,60,1.41%
23,AC,Universidade Federal do Acre,60,1.41%
24,BA,Universidade Estadual de Feira de Santana,58,1.37%
25,PR,Universidade Estadual do Oeste do Paraná,58,1.37%
26,PI,Universidade Federal do Piauí,57,1.34%
27,PR,Universidade Estadual do Paraná,54,1.27%
28,RS,Universidade Federal de Santa Maria,54,1.27%
29,MT,Universidade do Estado de Mato Grosso,53,1.25%
30,PI,Instituto Federal do Piauí,50,1.18%
31,MG,Universidade Federal de Lavras,49,1.15%
32,MS,Universidade Federal de Mato Grosso do Sul,48,1.13%
33,RO,Universidade Federal de Rondônia,46,1.08%
34,MT,Universidade Federal do Mato Grosso,46,1.08%
35,PR,Universidade Tecnológica Federal do Paraná,46,1.08%
36,SP,Universidade de São Paulo,42,0.99%
37,BA,Universidade Estadual do Sudoeste da Bahia,41,0.97%
38,PR,Universidade Federal da Integração Latino-Americana,41,0.97%
39,MG,Universidade Federal de São João del-Rei,40,0.94%
40,RS,Instituto Federal do Rio Grande do Sul,39,0.92%
41,PA,Universidade do Estado do Pará,39,0.92%
42,RJ,Universidade Federal Rural do Rio de Janeiro,39,0.92%
43,MG,Universidade Federal de Juiz de Fora,38,0.89%
44,MG,Universidade Federal de Viçosa,38,0.89%
45,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,37,0.87%
46,SE,Universidade Federal de Sergipe,37,0.87%
47,CE,Universidade Estadual do Vale do Acaraú,34,0.80%
48,MG,Universidade Federal de Uberlândia,34,0.80%
49,DF,Universidade do Distrito Federal,33,0.78%
50,CE,Universidade Federal do Ceará,32,0.75%
51,AL,Universidade Federal de Alagoas,31,0.73%
52,PR,Universidade Federal do Paraná,31,0.73%
53,MG,Universidade Federal de Ouro Preto,30,0.71%
54,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,30,0.71%
55,SC,Universidade do Estado de Santa Catarina,29,0.68%
56,PA,Universidade Federal do Pará,29,0.68%
57,GO,Universidade Federal de Goiás,28,0.66%
58,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,26,0.61%
59,MT,Universidade Federal de Rondonópolis,25,0.59%
60,PB,Universidade Federal de Campina Grande,25,0.59%
61,PA,Universidade Federal Rural da Amazônia,25,0.59%
62,GO,Universidade Estadual de Goiás,24,0.57%
63,PB,Universidade Estadual da Paraíba,21,0.49%
64,MS,Universidade Estadual de Mato Grosso do Sul,21,0.49%
65,SP,Universidade Federal de São Carlos,20,0.47%
66,CE,Universidade Regional do Cariri,19,0.45%
67,PE,Universidade de Pernambuco,18,0.42%
68,PA,Universidade Federal do Oeste do Pará,17,0.40%
69,PR,Universidade Estadual do Centro-Oeste,14,0.33%
70,PR,Universidade Estadual do Norte do Paraná,14,0.33%
71,PI,Universidade Estadual do Piauí,14,0.33%
72,PE,Universidade Federal de Pernambuco,13,0.31%
73,RS,Universidade Federal de Rio Grande,13,0.31%
74,AP,Universidade Federal do Amapá,13,0.31%
75,BA,Universidade Federal do Recôncavo da Bahia,13,0.31%
76,BA,Universidade Federal da Bahia,12,0.28%
77,PB,Universidade Federal da Paraíba,11,0.26%
78,RR,Universidade Federal de Roraima,11,0.26%
79,SP,Universidade Federal de São Paulo,11,0.26%
80,BA,Universidade Federal do Oeste da Bahia,11,0.26%
81,SP,Universidade Estadual Paulista,10,0.24%
82,SC,Universidade Federal da Fronteira Sul,9,0.21%
83,RJ,Universidade Federal do Estado do Rio de Janeiro,9,0.21%
84,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,8,0.19%
85,AM,Universidade do Estado do Amazonas,8,0.19%
