,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,244,5.07%
1,RJ,Universidade do Estado do Rio de Janeiro,228,4.74%
2,SP,Universidade Estadual de Campinas,224,4.65%
3,DF,Universidade de Brasília,161,3.34%
4,RJ,Universidade Federal Fluminense,139,2.89%
5,MA,Universidade Federal do Maranhão,119,2.47%
6,BA,Universidade Estadual de Feira de Santana,110,2.29%
7,AM,Universidade Federal do Amazonas,95,1.97%
8,PR,Universidade Estadual de Londrina,93,1.93%
9,BA,Universidade do Estado da Bahia,92,1.91%
10,SP,Universidade Federal do ABC,89,1.85%
11,BA,Universidade Federal do Sul da Bahia,87,1.81%
12,BA,Universidade Estadual de Santa Cruz,85,1.77%
13,PE,Universidade Federal do Vale do São Francisco,82,1.70%
14,MS,Universidade Federal da Grande Dourados,75,1.56%
15,RJ,Universidade Federal do Rio de Janeiro,75,1.56%
16,PR,Universidade Estadual de Ponta Grossa,73,1.52%
17,RS,Universidade Federal do Rio Grande do Sul,73,1.52%
18,AC,Universidade Federal do Acre,68,1.41%
19,RJ,Universidade Estadual do Norte Fluminense,67,1.39%
20,RS,Universidade Federal de Pelotas,66,1.37%
21,MG,Centro Federal de Educação Tecnológica de Minas Gerais,64,1.33%
22,PE,Universidade Federal Rural de Pernambuco,64,1.33%
23,CE,Universidade Estadual do Ceará,63,1.31%
24,BA,Universidade Estadual do Sudoeste da Bahia,63,1.31%
25,PR,Universidade Estadual de Maringá,61,1.27%
26,PR,Universidade Estadual do Oeste do Paraná,61,1.27%
27,PI,Universidade Federal do Piauí,61,1.27%
28,MT,Universidade do Estado de Mato Grosso,60,1.25%
29,MS,Universidade Federal de Mato Grosso do Sul,60,1.25%
30,PI,Instituto Federal do Piauí,59,1.23%
31,RS,Universidade Federal de Santa Maria,58,1.20%
32,PR,Universidade Estadual do Paraná,55,1.14%
33,PA,Universidade do Estado do Pará,51,1.06%
34,MG,Universidade Federal de Lavras,51,1.06%
35,RO,Universidade Federal de Rondônia,51,1.06%
36,PR,Universidade Tecnológica Federal do Paraná,50,1.04%
37,SE,Universidade Federal de Sergipe,49,1.02%
38,MT,Universidade Federal do Mato Grosso,49,1.02%
39,SP,Universidade de São Paulo,48,1.00%
40,PR,Universidade Federal da Integração Latino-Americana,45,0.93%
41,MG,Universidade Federal de Juiz de Fora,44,0.91%
42,MG,Universidade Federal de Viçosa,44,0.91%
43,CE,Universidade Federal do Ceará,44,0.91%
44,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,43,0.89%
45,RS,Instituto Federal do Rio Grande do Sul,42,0.87%
