,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,34,32.69%
1,SP,Universidade Estadual de Campinas,7,6.73%
2,RJ,Universidade do Estado do Rio de Janeiro,5,4.81%
3,MS,Universidade Estadual de Mato Grosso do Sul,4,3.85%
4,DF,Universidade de Brasília,3,2.88%
5,MG,Universidade Federal de Viçosa,3,2.88%
6,MA,Universidade Federal do Maranhão,3,2.88%
7,RS,Universidade Federal do Rio Grande do Sul,3,2.88%
8,RJ,Universidade Federal Fluminense,3,2.88%
9,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,1.92%
10,BA,Universidade do Estado da Bahia,2,1.92%
11,MT,Universidade do Estado de Mato Grosso,2,1.92%
12,GO,Universidade Estadual de Goiás,2,1.92%
13,PR,Universidade Estadual de Londrina,2,1.92%
14,PR,Universidade Estadual de Maringá,2,1.92%
15,MG,Universidade Federal de Juiz de Fora,2,1.92%
16,MT,Universidade Federal do Mato Grosso,2,1.92%
17,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.96%
18,ES,Faculdade de Música do Espírito Santo,1,0.96%
19,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.96%
20,AM,Universidade do Estado do Amazonas,1,0.96%
21,PB,Universidade Estadual da Paraíba,1,0.96%
22,PR,Universidade Estadual do Oeste do Paraná,1,0.96%
23,AL,Universidade Federal de Alagoas,1,0.96%
24,RO,Universidade Federal de Rondônia,1,0.96%
25,RR,Universidade Federal de Roraima,1,0.96%
26,RS,Universidade Federal de Santa Maria,1,0.96%
27,SP,Universidade Federal de São Carlos,1,0.96%
28,SE,Universidade Federal de Sergipe,1,0.96%
29,SP,Universidade Federal do ABC,1,0.96%
30,AC,Universidade Federal do Acre,1,0.96%
31,AM,Universidade Federal do Amazonas,1,0.96%
32,CE,Universidade Federal do Ceará,1,0.96%
33,BA,Universidade Federal do Oeste da Bahia,1,0.96%
34,PR,Universidade Federal do Paraná,1,0.96%
35,RJ,Universidade Federal do Rio de Janeiro,1,0.96%
36,BA,Universidade Federal do Sul da Bahia,1,0.96%
37,RS,Instituto Federal do Rio Grande do Sul,1,0.96%
38,CE,Universidade Estadual do Vale do Acaraú,1,0.96%
39,MS,Universidade Federal da Grande Dourados,1,0.96%
