,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,34,32.38%
1,SP,Universidade Estadual de Campinas,7,6.67%
2,RJ,Universidade do Estado do Rio de Janeiro,5,4.76%
3,MS,Universidade Estadual de Mato Grosso do Sul,4,3.81%
4,DF,Universidade de Brasília,3,2.86%
5,MT,Universidade do Estado de Mato Grosso,3,2.86%
6,MG,Universidade Federal de Viçosa,3,2.86%
7,MA,Universidade Federal do Maranhão,3,2.86%
8,RS,Universidade Federal do Rio Grande do Sul,3,2.86%
9,RJ,Universidade Federal Fluminense,3,2.86%
10,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,1.90%
11,BA,Universidade do Estado da Bahia,2,1.90%
12,GO,Universidade Estadual de Goiás,2,1.90%
13,PR,Universidade Estadual de Londrina,2,1.90%
14,PR,Universidade Estadual de Maringá,2,1.90%
15,MG,Universidade Federal de Juiz de Fora,2,1.90%
16,MT,Universidade Federal do Mato Grosso,2,1.90%
17,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.95%
18,ES,Faculdade de Música do Espírito Santo,1,0.95%
19,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.95%
20,AM,Universidade do Estado do Amazonas,1,0.95%
21,PB,Universidade Estadual da Paraíba,1,0.95%
22,PR,Universidade Estadual do Oeste do Paraná,1,0.95%
23,AL,Universidade Federal de Alagoas,1,0.95%
24,RO,Universidade Federal de Rondônia,1,0.95%
25,RR,Universidade Federal de Roraima,1,0.95%
26,RS,Universidade Federal de Santa Maria,1,0.95%
27,SP,Universidade Federal de São Carlos,1,0.95%
28,SE,Universidade Federal de Sergipe,1,0.95%
29,SP,Universidade Federal do ABC,1,0.95%
30,AC,Universidade Federal do Acre,1,0.95%
31,AM,Universidade Federal do Amazonas,1,0.95%
32,CE,Universidade Federal do Ceará,1,0.95%
33,BA,Universidade Federal do Oeste da Bahia,1,0.95%
34,PR,Universidade Federal do Paraná,1,0.95%
35,RJ,Universidade Federal do Rio de Janeiro,1,0.95%
36,BA,Universidade Federal do Sul da Bahia,1,0.95%
37,CE,Universidade Estadual do Vale do Acaraú,1,0.95%
38,RS,Instituto Federal do Rio Grande do Sul,1,0.95%
39,MS,Universidade Federal da Grande Dourados,1,0.95%
